Source;ValidFrom;Target;ValidTo;Label
AG;4;AI;11;Edge 1
AE;9;AD;27;Edge 2
AH;16;AI;25;Edge 3
AJ;25;AF;46;Edge 4
AF;7;AF;18;Edge 5
AJ;20;AD;46;Edge 6
AG;10;AJ;46;Edge 7
AH;1;AI;25;Edge 8
AC;2;AJ;30;Edge 9
AA;22;AE;41;Edge 10
AJ;18;AC;34;Edge 11
AJ;18;AH;23;Edge 12
AC;46;AC;49;Edge 13
AG;1;AA;16;Edge 14
AC;3;AA;8;Edge 15
AG;27;AI;28;Edge 16
AH;15;AD;41;Edge 17
AH;0;AB;6;Edge 18
AG;3;AJ;48;Edge 19
AG;18;AH;38;Edge 20
AC;28;AJ;38;Edge 21
AF;9;AE;25;Edge 22
AD;6;AC;49;Edge 23
AB;28;AG;36;Edge 24
AG;27;AH;41;Edge 25
AH;18;AC;34;Edge 26
AG;30;AA;36;Edge 27
AE;6;AE;40;Edge 28
AE;4;AB;5;Edge 29
AB;6;AF;39;Edge 30
AG;1;AF;27;Edge 31
AE;23;AE;43;Edge 32
AB;19;AC;26;Edge 33
AH;16;AE;38;Edge 34
AH;15;AI;27;Edge 35
AD;26;AE;43;Edge 36
AD;7;AG;47;Edge 37
AI;2;AB;37;Edge 38
AB;16;AC;19;Edge 39
AI;0;AG;49;Edge 40
AE;25;AB;46;Edge 41
AJ;14;AH;31;Edge 42
AH;15;AG;23;Edge 43
AC;25;AA;44;Edge 44
AB;34;AB;36;Edge 45
AC;17;AE;44;Edge 46
AF;24;AA;42;Edge 47
AB;6;AE;16;Edge 48
AF;12;AG;49;Edge 49
AD;27;AG;45;Edge 50
AB;18;AJ;46;Edge 51
AC;45;AJ;48;Edge 52
AI;15;AJ;24;Edge 53
AG;7;AJ;9;Edge 54
AD;14;AH;48;Edge 55
AF;12;AE;42;Edge 56
AH;0;AD;6;Edge 57
AG;1;AI;18;Edge 58
AC;4;AJ;18;Edge 59
AD;2;AA;28;Edge 60
AB;31;AJ;40;Edge 61
AI;5;AJ;45;Edge 62
AC;25;AJ;43;Edge 63
AE;10;AB;17;Edge 64
AH;10;AE;42;Edge 65
AC;2;AF;45;Edge 66
AB;4;AF;48;Edge 67
AG;18;AD;22;Edge 68
AC;11;AH;28;Edge 69
AA;24;AA;31;Edge 70
AH;1;AG;44;Edge 71
AE;5;AF;21;Edge 72
AA;24;AB;31;Edge 73
AE;9;AB;49;Edge 74
AH;2;AI;22;Edge 75
AF;13;AG;38;Edge 76
AH;18;AA;27;Edge 77
AG;47;AA;49;Edge 78
AA;28;AB;44;Edge 79
AC;17;AD;35;Edge 80
AB;19;AC;31;Edge 81
AC;11;AB;30;Edge 82
AF;19;AI;20;Edge 83
AD;13;AA;16;Edge 84
AG;14;AJ;47;Edge 85
AD;1;AH;13;Edge 86
AD;28;AI;30;Edge 87
AH;4;AE;48;Edge 88
AE;11;AC;48;Edge 89
AI;20;AC;21;Edge 90
AD;25;AE;44;Edge 91
AJ;11;AA;23;Edge 92
AI;41;AD;48;Edge 93
AE;27;AG;36;Edge 94
AI;16;AD;31;Edge 95
AH;16;AH;19;Edge 96
AD;24;AB;39;Edge 97
AE;4;AH;36;Edge 98
AE;26;AF;28;Edge 99
AC;9;AC;22;Edge 100
AH;8;AF;43;Edge 101
AJ;12;AI;41;Edge 102
AC;33;AI;45;Edge 103
AC;17;AG;36;Edge 104
AI;21;AJ;33;Edge 105
AA;39;AH;49;Edge 106
AF;0;AG;44;Edge 107
AA;19;AE;30;Edge 108
AI;2;AI;3;Edge 109
AG;14;AG;25;Edge 110
AH;8;AF;27;Edge 111
AI;18;AJ;48;Edge 112
AA;6;AG;7;Edge 113
AE;16;AA;18;Edge 114
AJ;12;AC;43;Edge 115
AC;4;AG;46;Edge 116
AJ;13;AJ;17;Edge 117
AA;30;AJ;43;Edge 118
AH;33;AF;37;Edge 119
AE;5;AH;19;Edge 120
AJ;24;AF;26;Edge 121
AB;20;AI;22;Edge 122
AF;2;AD;29;Edge 123
AI;21;AH;40;Edge 124
