Source;ValidFrom;Target;ValidTo;Label
AS;107;AC;228;Edge 1
BG;27;AI;52;Edge 2
AG;156;AL;210;Edge 3
AB;21;AR;86;Edge 4
AF;71;AQ;244;Edge 5
BJ;18;AN;149;Edge 6
AX;26;BB;230;Edge 7
BO;75;AI;86;Edge 8
AA;91;BC;242;Edge 9
BQ;92;BC;218;Edge 10
BM;143;BO;176;Edge 11
BX;82;BK;155;Edge 12
BN;161;BB;167;Edge 13
BH;98;AA;144;Edge 14
BC;66;BL;69;Edge 15
BF;231;BC;249;Edge 16
BT;185;AI;200;Edge 17
BS;67;BH;118;Edge 18
AD;36;AF;98;Edge 19
AB;3;BD;176;Edge 20
AW;14;AG;21;Edge 21
BT;77;BS;196;Edge 22
AY;162;AL;178;Edge 23
BB;108;AV;206;Edge 24
AD;52;BH;224;Edge 25
BV;64;BJ;196;Edge 26
BU;103;AF;131;Edge 27
BX;93;AC;152;Edge 28
BM;128;BW;194;Edge 29
BL;78;BT;205;Edge 30
AC;100;AJ;111;Edge 31
BT;22;AQ;68;Edge 32
BK;141;BB;198;Edge 33
BP;162;AN;235;Edge 34
AM;59;BA;86;Edge 35
BN;16;AM;237;Edge 36
BS;161;AO;237;Edge 37
AT;181;BJ;239;Edge 38
BO;61;BV;240;Edge 39
BV;20;BU;112;Edge 40
BN;10;BJ;157;Edge 41
BC;101;AU;203;Edge 42
AU;19;AO;93;Edge 43
AJ;107;AG;117;Edge 44
BW;122;BC;199;Edge 45
BE;125;BR;179;Edge 46
BI;1;BI;49;Edge 47
BC;71;BR;100;Edge 48
BI;59;BN;135;Edge 49
AK;26;AF;167;Edge 50
AF;150;AK;197;Edge 51
BA;20;AR;178;Edge 52
AI;70;BS;75;Edge 53
BJ;104;BA;148;Edge 54
BV;112;AK;227;Edge 55
AP;87;BW;144;Edge 56
AP;178;AZ;232;Edge 57
BM;104;AD;217;Edge 58
AX;55;AF;80;Edge 59
BP;33;BJ;146;Edge 60
BJ;52;BA;134;Edge 61
BE;141;AF;237;Edge 62
AS;73;AE;97;Edge 63
BC;37;BD;92;Edge 64
AP;189;AR;249;Edge 65
BI;164;AZ;242;Edge 66
AQ;101;BU;232;Edge 67
AK;217;BA;238;Edge 68
AO;214;BH;217;Edge 69
AN;152;AY;167;Edge 70
BL;3;AA;216;Edge 71
AD;164;AL;193;Edge 72
BC;35;AX;215;Edge 73
AI;32;BC;124;Edge 74
BO;42;AO;185;Edge 75
AU;133;AX;159;Edge 76
BH;88;AZ;208;Edge 77
AU;34;AR;51;Edge 78
AZ;113;AW;147;Edge 79
BC;135;AX;209;Edge 80
AA;118;BV;132;Edge 81
