Source;ValidFrom;Target;ValidTo;Label
AC;68;AM;225;Edge 1
AW;47;AH;167;Edge 2
AG;60;BF;153;Edge 3
AY;167;AH;172;Edge 4
AC;14;AH;38;Edge 5
BH;28;AB;123;Edge 6
AV;32;BQ;76;Edge 7
AK;112;BA;143;Edge 8
AZ;100;AR;135;Edge 9
AE;44;AP;96;Edge 10
BE;78;BL;188;Edge 11
BQ;142;AS;240;Edge 12
BW;74;BB;214;Edge 13
AM;12;AD;122;Edge 14
AS;0;AJ;135;Edge 15
AK;28;BN;45;Edge 16
BD;130;AW;237;Edge 17
AG;125;AQ;240;Edge 18
AU;11;BU;75;Edge 19
BC;172;BF;181;Edge 20
BS;10;AN;113;Edge 21
AD;1;BA;13;Edge 22
BV;22;BS;183;Edge 23
AJ;101;AK;163;Edge 24
BU;13;AW;130;Edge 25
BU;157;AM;230;Edge 26
BI;216;BK;227;Edge 27
AK;118;BN;225;Edge 28
BD;1;AM;194;Edge 29
AP;75;BB;109;Edge 30
AZ;145;AL;222;Edge 31
BK;109;AL;226;Edge 32
BN;157;BS;201;Edge 33
BI;65;AQ;117;Edge 34
BA;49;AH;189;Edge 35
BE;116;AR;227;Edge 36
AP;8;AN;82;Edge 37
BE;82;AS;168;Edge 38
BN;146;BE;230;Edge 39
AA;43;BA;195;Edge 40
BD;0;AC;95;Edge 41
AC;78;AV;188;Edge 42
BL;177;BA;243;Edge 43
AQ;8;BO;194;Edge 44
AP;8;BL;42;Edge 45
BD;105;AA;202;Edge 46
BP;47;AB;192;Edge 47
AG;144;BU;216;Edge 48
AT;44;BV;193;Edge 49
BD;5;BE;28;Edge 50
BD;115;AD;226;Edge 51
AN;89;AZ;148;Edge 52
AG;125;AB;181;Edge 53
BU;79;AN;200;Edge 54
AG;98;BO;208;Edge 55
BR;0;AW;52;Edge 56
BC;60;BN;131;Edge 57
BQ;5;BB;101;Edge 58
AO;243;AJ;248;Edge 59
BK;119;AN;210;Edge 60
BW;109;BH;200;Edge 61
AM;89;BV;246;Edge 62
BQ;84;AF;189;Edge 63
BW;152;AW;199;Edge 64
AN;18;BL;210;Edge 65
AC;33;AQ;47;Edge 66
AT;119;AH;131;Edge 67
AS;190;AV;191;Edge 68
AF;144;AX;232;Edge 69
AU;63;BL;105;Edge 70
BC;166;AS;177;Edge 71
BR;35;AW;224;Edge 72
AG;64;AM;86;Edge 73
AE;181;BH;209;Edge 74
BH;45;BI;97;Edge 75
AP;161;BV;231;Edge 76
BN;33;BA;145;Edge 77
AZ;24;BX;114;Edge 78
BA;15;BJ;50;Edge 79
BA;55;BK;243;Edge 80
AQ;116;AC;222;Edge 81
BD;116;AP;136;Edge 82
BT;148;AW;158;Edge 83
AW;0;AO;165;Edge 84
BR;42;AG;156;Edge 85
BK;35;AC;80;Edge 86
AM;21;BW;63;Edge 87
AR;35;AV;233;Edge 88
BA;163;BX;227;Edge 89
BU;22;BW;201;Edge 90
BB;209;BO;238;Edge 91
BG;84;AQ;192;Edge 92
BF;55;AH;90;Edge 93
BU;47;BE;205;Edge 94
BG;32;AF;82;Edge 95
BT;20;BU;109;Edge 96
BO;31;BK;234;Edge 97
BJ;175;AJ;177;Edge 98
BI;25;BL;99;Edge 99
BC;135;AA;181;Edge 100
AR;74;AE;187;Edge 101
BU;188;AU;244;Edge 102
BX;49;AB;232;Edge 103
BE;20;AS;214;Edge 104
AK;57;AK;105;Edge 105
BI;80;BI;105;Edge 106
BT;19;AQ;129;Edge 107
AD;5;BH;172;Edge 108
AU;45;AS;211;Edge 109
AN;157;AR;183;Edge 110
AP;107;AZ;230;Edge 111
BD;2;BD;177;Edge 112
AJ;103;BG;148;Edge 113
AI;6;AI;149;Edge 114
AD;7;AI;98;Edge 115
BI;108;AY;109;Edge 116
AU;45;BJ;63;Edge 117
AE;8;BS;145;Edge 118
BV;37;BC;202;Edge 119
AC;1;AR;30;Edge 120
BG;55;AW;243;Edge 121
AS;132;AL;200;Edge 122
BF;61;AZ;192;Edge 123
BD;71;AS;229;Edge 124
BL;48;BP;193;Edge 125
AK;182;BF;188;Edge 126
AO;174;BR;194;Edge 127
BE;3;BH;179;Edge 128
BV;57;BE;98;Edge 129
AS;132;BF;180;Edge 130
BX;24;AI;29;Edge 131
BD;98;BR;114;Edge 132
AR;139;AS;201;Edge 133
BG;44;AE;204;Edge 134
BS;136;BB;221;Edge 135
AG;78;BA;242;Edge 136
AN;139;AM;240;Edge 137
BX;45;BM;176;Edge 138
AJ;146;AB;158;Edge 139
BA;32;BD;166;Edge 140
BG;52;AH;217;Edge 141
AJ;133;BU;245;Edge 142
BN;96;AG;217;Edge 143
BC;114;BL;175;Edge 144
AS;96;AX;126;Edge 145
AK;20;AS;84;Edge 146
BR;65;BF;122;Edge 147
BP;132;BH;246;Edge 148
BQ;152;BA;235;Edge 149
AP;141;AL;245;Edge 150
AB;155;BS;238;Edge 151
AO;133;AK;175;Edge 152
AP;68;AS;184;Edge 153
BC;203;AX;224;Edge 154
AV;68;AE;77;Edge 155
AT;78;BA;210;Edge 156
AU;82;AI;137;Edge 157
AQ;19;AD;219;Edge 158
AY;54;AN;220;Edge 159
AY;36;AJ;44;Edge 160
BE;139;AR;207;Edge 161
AB;18;BI;198;Edge 162
AZ;59;AI;107;Edge 163
BG;11;BX;29;Edge 164
BO;28;BV;242;Edge 165
BS;57;AT;150;Edge 166
BV;105;BJ;127;Edge 167
BS;125;AC;142;Edge 168
BJ;65;BO;238;Edge 169
AA;151;BE;160;Edge 170
BE;32;BG;151;Edge 171
BR;161;AX;207;Edge 172
BA;68;AG;130;Edge 173
AV;35;AI;139;Edge 174
AT;134;BD;224;Edge 175
BL;102;AK;235;Edge 176
AW;99;BM;242;Edge 177
BB;66;BE;187;Edge 178
AC;3;AE;91;Edge 179
BP;123;BE;162;Edge 180
AP;47;BP;74;Edge 181
AO;94;BF;241;Edge 182
AZ;40;AY;106;Edge 183
AD;87;AK;210;Edge 184
AE;83;AE;130;Edge 185
BX;140;BK;146;Edge 186
AI;196;BA;216;Edge 187
BE;2;AA;129;Edge 188
BG;12;BK;36;Edge 189
BL;114;BV;159;Edge 190
BH;39;BK;159;Edge 191
AB;75;AI;221;Edge 192
AO;90;BM;110;Edge 193
BG;62;BW;186;Edge 194
BN;45;BK;245;Edge 195
BH;2;AL;228;Edge 196
BA;58;BW;131;Edge 197
AV;67;AE;77;Edge 198
BM;87;AG;230;Edge 199
BJ;18;AY;77;Edge 200
BE;51;AU;177;Edge 201
BS;6;BL;69;Edge 202
BN;177;BA;244;Edge 203
AL;82;AH;101;Edge 204
AU;18;AT;106;Edge 205
BX;10;BQ;248;Edge 206
BJ;56;BV;160;Edge 207
AF;187;BG;240;Edge 208
AB;135;AH;229;Edge 209
AU;16;BF;169;Edge 210
AH;110;AX;197;Edge 211
BP;114;AY;169;Edge 212
BB;50;BT;68;Edge 213
AB;69;AN;201;Edge 214
BQ;33;AL;68;Edge 215
AN;40;AZ;177;Edge 216
BR;186;BH;240;Edge 217
BK;64;AL;174;Edge 218
AG;15;BI;149;Edge 219
AJ;114;BB;191;Edge 220
AU;54;AP;243;Edge 221
AJ;47;AJ;203;Edge 222
BS;15;AL;123;Edge 223
BQ;19;BD;172;Edge 224
BU;76;BA;160;Edge 225
BX;37;BD;227;Edge 226
BE;71;AA;120;Edge 227
AO;4;AO;162;Edge 228
AV;98;AE;105;Edge 229
BF;150;AE;231;Edge 230
BR;51;AJ;235;Edge 231
BL;24;BQ;73;Edge 232
BP;14;BM;216;Edge 233
BW;21;AW;158;Edge 234
BS;43;AS;181;Edge 235
BJ;93;BD;128;Edge 236
AC;57;BK;170;Edge 237
BE;137;AN;143;Edge 238
BB;117;AT;143;Edge 239
AF;103;AZ;206;Edge 240
BG;207;BE;244;Edge 241
AW;43;AI;119;Edge 242
BA;92;AU;161;Edge 243
AK;200;BN;223;Edge 244
BU;191;AB;219;Edge 245
AW;7;AD;185;Edge 246
BR;0;AQ;118;Edge 247
BC;75;AM;232;Edge 248
BL;6;BI;168;Edge 249
BC;181;BC;234;Edge 250
BE;158;AU;170;Edge 251
BF;176;BA;190;Edge 252
AY;33;BW;95;Edge 253
BG;136;BD;176;Edge 254
BS;98;AP;119;Edge 255
BF;111;BE;164;Edge 256
BW;20;AL;118;Edge 257
BM;73;AJ;227;Edge 258
AF;144;AR;185;Edge 259
BR;95;BJ;97;Edge 260
BC;175;AW;217;Edge 261
AQ;110;AX;118;Edge 262
BI;91;AG;219;Edge 263
AX;10;BH;71;Edge 264
BX;81;BI;90;Edge 265
BK;162;BN;181;Edge 266
BG;18;AQ;96;Edge 267
AS;184;BM;211;Edge 268
BA;123;BI;159;Edge 269
BN;19;AA;231;Edge 270
BQ;99;AE;145;Edge 271
BR;181;BU;195;Edge 272
BS;193;BB;238;Edge 273
BH;174;AC;191;Edge 274
AP;78;AK;220;Edge 275
BC;47;AR;169;Edge 276
AU;47;AX;206;Edge 277
BC;23;AZ;71;Edge 278
BS;73;AO;237;Edge 279
AW;119;BA;204;Edge 280
AC;0;AU;25;Edge 281
BT;89;BB;161;Edge 282
AA;158;AW;238;Edge 283
BO;211;BS;243;Edge 284
BA;136;BX;171;Edge 285
AV;79;BR;133;Edge 286
AE;56;AE;137;Edge 287
AE;89;BC;114;Edge 288
AR;119;AM;127;Edge 289
BD;17;BW;50;Edge 290
BK;155;AO;196;Edge 291
AX;165;BQ;196;Edge 292
AE;117;BJ;195;Edge 293
BT;49;AW;186;Edge 294
BE;158;BV;159;Edge 295
BH;182;BR;198;Edge 296
AT;84;AE;116;Edge 297
BK;134;BE;202;Edge 298
AQ;210;AC;220;Edge 299
AL;29;BR;165;Edge 300
AP;36;BC;131;Edge 301
BQ;10;AH;31;Edge 302
BM;141;AO;159;Edge 303
AD;196;BM;221;Edge 304
AO;91;BH;196;Edge 305
