Source;ValidFrom;Target;ValidTo;Label
AF;25;AD;47;Edge 1
AF;17;AA;39;Edge 2
AI;35;AB;41;Edge 3
AJ;7;AC;25;Edge 4
AG;26;AD;39;Edge 5
AC;29;AG;40;Edge 6
AH;4;AA;11;Edge 7
AB;15;AC;45;Edge 8
AH;38;AF;43;Edge 9
AB;22;AG;32;Edge 10
AA;11;AC;28;Edge 11
AG;7;AG;18;Edge 12
AI;26;AG;29;Edge 13
AJ;15;AE;38;Edge 14
AG;16;AI;40;Edge 15
AC;3;AG;20;Edge 16
AD;19;AH;30;Edge 17
AF;10;AH;49;Edge 18
AJ;26;AF;48;Edge 19
AD;9;AF;25;Edge 20
AD;0;AE;3;Edge 21
AH;8;AG;29;Edge 22
AD;24;AE;33;Edge 23
AF;14;AF;37;Edge 24
AA;9;AB;18;Edge 25
AA;2;AJ;17;Edge 26
AF;14;AG;30;Edge 27
AA;27;AE;44;Edge 28
AH;20;AI;28;Edge 29
AA;21;AH;39;Edge 30
AH;0;AI;14;Edge 31
AB;21;AB;29;Edge 32
AF;4;AE;47;Edge 33
AD;2;AI;47;Edge 34
AI;9;AJ;46;Edge 35
AB;8;AC;15;Edge 36
AC;4;AC;40;Edge 37
AB;16;AB;37;Edge 38
AJ;31;AE;46;Edge 39
AG;42;AG;48;Edge 40
AA;42;AD;49;Edge 41
AG;18;AF;35;Edge 42
AC;13;AE;32;Edge 43
AB;10;AH;49;Edge 44
AD;40;AF;48;Edge 45
AI;28;AJ;44;Edge 46
AJ;8;AF;37;Edge 47
AH;9;AI;12;Edge 48
AH;22;AH;24;Edge 49
AG;11;AE;23;Edge 50
AE;30;AJ;34;Edge 51
AC;6;AB;9;Edge 52
AD;28;AH;42;Edge 53
AF;27;AG;44;Edge 54
AE;20;AJ;41;Edge 55
AG;6;AB;21;Edge 56
AE;21;AF;31;Edge 57
AC;1;AE;16;Edge 58
AI;1;AJ;5;Edge 59
AB;0;AC;48;Edge 60
AE;21;AH;24;Edge 61
AG;18;AG;19;Edge 62
AI;16;AH;38;Edge 63
AJ;20;AG;22;Edge 64
AA;33;AF;37;Edge 65
AD;24;AI;31;Edge 66
AJ;13;AF;20;Edge 67
AI;40;AB;41;Edge 68
AD;8;AF;27;Edge 69
AA;15;AA;43;Edge 70
AB;31;AF;48;Edge 71
AA;7;AE;40;Edge 72
AE;24;AI;27;Edge 73
AH;17;AH;37;Edge 74
AJ;33;AG;37;Edge 75
AD;10;AI;39;Edge 76
AI;5;AB;48;Edge 77
AH;29;AF;30;Edge 78
AB;1;AI;17;Edge 79
AH;16;AJ;30;Edge 80
AB;34;AG;35;Edge 81
AD;11;AC;18;Edge 82
AH;3;AF;13;Edge 83
AG;20;AA;39;Edge 84
AD;21;AG;29;Edge 85
AJ;19;AF;32;Edge 86
AB;38;AC;43;Edge 87
AB;33;AJ;46;Edge 88
AD;13;AD;43;Edge 89
AG;19;AJ;33;Edge 90
AE;12;AE;28;Edge 91
AG;1;AG;25;Edge 92
AF;8;AD;23;Edge 93
AE;16;AC;28;Edge 94
AA;21;AF;29;Edge 95
AF;16;AB;30;Edge 96
AI;4;AJ;16;Edge 97
AG;3;AB;36;Edge 98
AJ;8;AF;49;Edge 99
AC;10;AA;23;Edge 100
AA;14;AE;48;Edge 101
AI;5;AG;39;Edge 102
AJ;14;AF;47;Edge 103
AI;12;AE;33;Edge 104
AG;26;AE;39;Edge 105
AB;16;AB;32;Edge 106
AI;22;AB;23;Edge 107
AA;23;AI;48;Edge 108
AC;18;AI;35;Edge 109
AC;6;AF;28;Edge 110
AC;41;AH;45;Edge 111
AG;14;AF;28;Edge 112
AJ;19;AG;43;Edge 113
AH;14;AI;35;Edge 114
AD;1;AB;6;Edge 115
AG;13;AB;27;Edge 116
AI;16;AC;28;Edge 117
AD;1;AE;7;Edge 118
AI;12;AA;40;Edge 119
AA;46;AA;48;Edge 120
AC;14;AF;29;Edge 121
AD;3;AF;6;Edge 122
AJ;19;AA;32;Edge 123
AD;14;AF;19;Edge 124
AG;22;AD;30;Edge 125
AH;32;AJ;45;Edge 126
AJ;2;AB;14;Edge 127
AC;12;AE;18;Edge 128
AA;13;AJ;48;Edge 129
AF;2;AA;16;Edge 130
AJ;11;AI;20;Edge 131
AB;29;AG;42;Edge 132
AB;7;AG;11;Edge 133
AA;7;AB;19;Edge 134
AI;5;AF;30;Edge 135
AE;12;AA;34;Edge 136
AH;5;AH;30;Edge 137
AH;11;AI;44;Edge 138
AD;11;AB;48;Edge 139
AC;18;AA;41;Edge 140
AE;10;AG;30;Edge 141
AA;1;AE;40;Edge 142
AG;25;AF;27;Edge 143
AJ;24;AJ;26;Edge 144
AG;36;AC;42;Edge 145
AG;19;AB;34;Edge 146
AG;0;AD;17;Edge 147
AD;3;AI;24;Edge 148
AI;10;AB;18;Edge 149
AA;0;AA;37;Edge 150
AI;23;AA;35;Edge 151
AH;15;AD;45;Edge 152
AB;17;AD;27;Edge 153
AA;12;AH;35;Edge 154
AH;29;AD;47;Edge 155
AA;18;AC;36;Edge 156
AJ;8;AC;24;Edge 157
AC;18;AF;49;Edge 158
AI;20;AE;23;Edge 159
AA;13;AB;35;Edge 160
AI;8;AH;20;Edge 161
AG;38;AC;49;Edge 162
AJ;2;AG;49;Edge 163
AD;26;AD;40;Edge 164
AB;2;AF;8;Edge 165
AA;23;AF;37;Edge 166
AC;19;AH;20;Edge 167
AJ;48;AE;49;Edge 168
AB;2;AI;8;Edge 169
AC;11;AE;45;Edge 170
AA;4;AH;15;Edge 171
AH;2;AC;33;Edge 172
AC;25;AF;39;Edge 173
AC;7;AJ;15;Edge 174
AC;5;AI;10;Edge 175
AF;18;AF;33;Edge 176
AI;37;AB;46;Edge 177
AB;19;AJ;49;Edge 178
AA;24;AH;48;Edge 179
AJ;24;AB;43;Edge 180
AC;14;AF;16;Edge 181
AC;24;AH;39;Edge 182
AC;4;AI;32;Edge 183
AH;9;AF;36;Edge 184
AC;2;AI;19;Edge 185
AE;8;AB;36;Edge 186
AD;2;AB;34;Edge 187
AA;6;AI;46;Edge 188
AB;14;AC;31;Edge 189
AF;38;AH;45;Edge 190
AE;12;AF;49;Edge 191
AG;28;AI;33;Edge 192
AC;11;AC;45;Edge 193
AA;8;AD;48;Edge 194
AA;30;AJ;42;Edge 195
AG;14;AE;19;Edge 196
AF;2;AC;33;Edge 197
AI;13;AG;15;Edge 198
AG;4;AI;24;Edge 199
AG;16;AG;25;Edge 200
AH;1;AB;22;Edge 201
AC;14;AA;25;Edge 202
AF;5;AD;41;Edge 203
AE;17;AG;39;Edge 204
AJ;30;AC;44;Edge 205
AI;32;AC;47;Edge 206
AB;25;AI;39;Edge 207
AD;0;AG;8;Edge 208
AE;1;AC;39;Edge 209
AJ;8;AH;34;Edge 210
AA;8;AB;26;Edge 211
AI;35;AA;37;Edge 212
AI;26;AD;35;Edge 213
AF;12;AC;16;Edge 214
AE;9;AD;37;Edge 215
AC;6;AC;12;Edge 216
AD;19;AE;30;Edge 217
AA;15;AE;20;Edge 218
AJ;12;AB;36;Edge 219
AA;2;AG;29;Edge 220
AD;4;AA;9;Edge 221
AA;39;AB;49;Edge 222
AJ;31;AI;33;Edge 223
AC;16;AA;47;Edge 224
AI;19;AJ;29;Edge 225
AA;5;AI;45;Edge 226
AA;17;AJ;48;Edge 227
AE;1;AC;38;Edge 228
AJ;5;AA;36;Edge 229
AC;9;AJ;48;Edge 230
AI;21;AG;45;Edge 231
AD;13;AB;37;Edge 232
AE;23;AG;40;Edge 233
AF;13;AE;27;Edge 234
AC;7;AE;23;Edge 235
AJ;1;AJ;23;Edge 236
AJ;7;AC;37;Edge 237
AG;14;AH;37;Edge 238
AH;0;AB;23;Edge 239
AI;30;AD;43;Edge 240
AH;13;AJ;24;Edge 241
AG;36;AA;49;Edge 242
AI;6;AB;35;Edge 243
AJ;45;AI;47;Edge 244
AC;27;AI;49;Edge 245
AC;24;AF;36;Edge 246
AD;19;AC;40;Edge 247
AD;8;AG;22;Edge 248
AE;2;AD;21;Edge 249
AH;21;AJ;41;Edge 250
AB;7;AG;20;Edge 251
AI;4;AI;9;Edge 252
AC;4;AF;21;Edge 253
AB;32;AH;37;Edge 254
AF;27;AC;44;Edge 255
AC;18;AE;29;Edge 256
AD;15;AF;37;Edge 257
AC;17;AG;26;Edge 258
AD;45;AD;47;Edge 259
AI;11;AF;17;Edge 260
AA;36;AH;46;Edge 261
AE;18;AG;23;Edge 262
AB;24;AH;32;Edge 263
AC;16;AB;31;Edge 264
AH;34;AC;35;Edge 265
AB;12;AC;35;Edge 266
AC;38;AG;41;Edge 267
AC;31;AH;37;Edge 268
AE;8;AG;44;Edge 269
AA;21;AJ;45;Edge 270
AF;18;AE;34;Edge 271
AH;6;AF;8;Edge 272
AD;3;AB;48;Edge 273
AI;25;AF;38;Edge 274
AH;0;AF;4;Edge 275
AF;17;AC;37;Edge 276
AE;26;AB;43;Edge 277
AB;18;AH;45;Edge 278
AE;23;AI;29;Edge 279
AJ;20;AG;25;Edge 280
AF;26;AH;28;Edge 281
AC;0;AC;38;Edge 282
AF;19;AB;26;Edge 283
AD;26;AH;42;Edge 284
AA;4;AB;26;Edge 285
AC;20;AD;31;Edge 286
AG;0;AE;18;Edge 287
AE;8;AA;23;Edge 288
AD;25;AF;32;Edge 289
AE;7;AA;47;Edge 290
AB;6;AB;48;Edge 291
AH;0;AI;39;Edge 292
AE;19;AB;40;Edge 293
AH;21;AC;25;Edge 294
AG;10;AJ;47;Edge 295
AA;12;AB;48;Edge 296
AE;10;AJ;30;Edge 297
AB;20;AC;29;Edge 298
AD;7;AE;28;Edge 299
AF;20;AF;45;Edge 300
AA;3;AH;16;Edge 301
AH;10;AA;26;Edge 302
AG;4;AG;26;Edge 303
AA;29;AA;33;Edge 304
AJ;29;AD;43;Edge 305
AA;5;AF;34;Edge 306
AB;10;AF;48;Edge 307
AE;10;AB;48;Edge 308
AA;2;AI;34;Edge 309
AD;22;AH;28;Edge 310
AI;6;AG;17;Edge 311
AG;10;AF;19;Edge 312
AE;13;AH;33;Edge 313
AA;5;AI;44;Edge 314
AB;3;AG;49;Edge 315
AD;15;AE;35;Edge 316
AA;5;AH;17;Edge 317
AA;0;AC;20;Edge 318
AA;17;AD;30;Edge 319
AD;35;AA;39;Edge 320
AJ;15;AC;42;Edge 321
AI;15;AJ;21;Edge 322
AF;25;AA;35;Edge 323
AD;11;AA;27;Edge 324
AD;15;AD;22;Edge 325
AE;14;AD;43;Edge 326
AG;5;AB;33;Edge 327
AA;22;AH;25;Edge 328
AI;32;AJ;45;Edge 329
AC;7;AE;16;Edge 330
AH;18;AG;22;Edge 331
AH;15;AI;42;Edge 332
AG;15;AH;16;Edge 333
AC;28;AG;38;Edge 334
AJ;30;AF;45;Edge 335
AH;23;AB;48;Edge 336
AD;6;AJ;10;Edge 337
AE;1;AA;24;Edge 338
AB;18;AB;40;Edge 339
AB;5;AF;31;Edge 340
AI;23;AJ;43;Edge 341
AD;35;AC;37;Edge 342
AI;1;AC;37;Edge 343
AB;24;AC;33;Edge 344
AH;9;AE;36;Edge 345
AA;6;AB;37;Edge 346
AG;8;AF;38;Edge 347
AA;21;AG;42;Edge 348
AF;19;AE;31;Edge 349
AA;7;AC;25;Edge 350
AH;34;AE;35;Edge 351
AB;12;AE;29;Edge 352
AI;2;AG;4;Edge 353
AJ;10;AA;26;Edge 354
AE;39;AF;46;Edge 355
AH;9;AC;44;Edge 356
AA;6;AJ;8;Edge 357
AH;5;AB;9;Edge 358
AI;14;AB;16;Edge 359
AG;15;AH;35;Edge 360
AA;10;AB;28;Edge 361
AF;28;AC;30;Edge 362
AH;9;AF;13;Edge 363
AA;17;AD;41;Edge 364
AC;2;AE;43;Edge 365
AA;19;AE;39;Edge 366
AD;30;AF;42;Edge 367
AI;20;AG;23;Edge 368
AD;4;AE;28;Edge 369
AC;45;AF;46;Edge 370
AD;3;AH;46;Edge 371
AE;35;AJ;44;Edge 372
AG;10;AJ;46;Edge 373
AD;12;AE;44;Edge 374
AB;19;AF;40;Edge 375
AF;4;AJ;36;Edge 376
AG;2;AF;22;Edge 377
AJ;22;AG;40;Edge 378
AI;0;AE;46;Edge 379
AF;16;AC;26;Edge 380
AI;1;AH;39;Edge 381
AB;0;AA;14;Edge 382
AB;3;AJ;10;Edge 383
AG;35;AF;42;Edge 384
AJ;0;AF;49;Edge 385
AC;8;AG;10;Edge 386
AE;9;AJ;19;Edge 387
AI;10;AG;41;Edge 388
AG;3;AG;34;Edge 389
AB;2;AJ;3;Edge 390
AB;15;AI;30;Edge 391
AC;44;AJ;48;Edge 392
AI;2;AE;6;Edge 393
AC;1;AJ;18;Edge 394
AF;0;AD;30;Edge 395
AJ;4;AC;6;Edge 396
AH;3;AF;30;Edge 397
AC;38;AA;42;Edge 398
AA;0;AF;10;Edge 399
AD;0;AH;17;Edge 400
AA;5;AI;26;Edge 401
AF;34;AI;39;Edge 402
AF;28;AB;46;Edge 403
AG;1;AD;31;Edge 404
AG;1;AB;26;Edge 405
AD;46;AI;48;Edge 406
AC;23;AC;35;Edge 407
AE;41;AF;46;Edge 408
AH;3;AJ;49;Edge 409
AF;1;AE;12;Edge 410
AA;24;AF;45;Edge 411
AB;20;AH;35;Edge 412
AE;7;AE;45;Edge 413
AI;15;AH;18;Edge 414
AJ;16;AC;25;Edge 415
AJ;33;AA;38;Edge 416
AF;28;AB;46;Edge 417
AA;15;AC;19;Edge 418
AH;4;AJ;47;Edge 419
AA;25;AJ;32;Edge 420
AA;6;AJ;19;Edge 421
AG;19;AB;25;Edge 422
AB;17;AB;42;Edge 423
AH;34;AE;48;Edge 424
AA;9;AJ;11;Edge 425
AG;22;AA;27;Edge 426
AD;25;AI;40;Edge 427
AJ;20;AB;44;Edge 428
AJ;11;AE;12;Edge 429
AJ;14;AG;31;Edge 430
AE;3;AH;18;Edge 431
AJ;39;AH;47;Edge 432
AC;9;AJ;34;Edge 433
AJ;3;AA;16;Edge 434
AG;16;AI;25;Edge 435
AJ;0;AB;12;Edge 436
AC;8;AJ;9;Edge 437
AB;29;AC;46;Edge 438
AC;20;AH;37;Edge 439
AB;26;AB;48;Edge 440
AF;17;AC;30;Edge 441
AE;11;AJ;22;Edge 442
AI;20;AG;46;Edge 443
AG;7;AD;48;Edge 444
AE;26;AB;47;Edge 445
AJ;21;AJ;44;Edge 446
AH;11;AG;13;Edge 447
AF;0;AF;36;Edge 448
AA;27;AJ;34;Edge 449
AG;28;AI;38;Edge 450
AC;1;AE;43;Edge 451
AG;14;AG;39;Edge 452
AI;24;AG;30;Edge 453
AI;25;AA;27;Edge 454
AA;28;AI;48;Edge 455
AC;4;AD;49;Edge 456
AC;28;AE;30;Edge 457
AH;17;AB;33;Edge 458
AD;8;AF;36;Edge 459
AI;3;AG;20;Edge 460
AC;4;AI;31;Edge 461
AB;6;AA;10;Edge 462
AI;15;AD;37;Edge 463
AJ;32;AD;42;Edge 464
AE;2;AC;3;Edge 465
AI;11;AI;31;Edge 466
AF;10;AG;40;Edge 467
AB;18;AD;45;Edge 468
AD;20;AI;26;Edge 469
AD;6;AG;45;Edge 470
AA;36;AA;40;Edge 471
AH;2;AF;26;Edge 472
AG;16;AH;26;Edge 473
AC;0;AF;38;Edge 474
AJ;2;AD;3;Edge 475
AB;16;AE;37;Edge 476
AC;13;AA;19;Edge 477
AD;41;AC;48;Edge 478
AB;28;AA;33;Edge 479
AJ;27;AG;32;Edge 480
AF;34;AH;36;Edge 481
AB;31;AH;35;Edge 482
AJ;32;AB;46;Edge 483
AI;19;AF;43;Edge 484
AA;23;AA;46;Edge 485
AG;17;AF;20;Edge 486
AH;3;AJ;35;Edge 487
AD;31;AG;33;Edge 488
AD;15;AA;27;Edge 489
AF;8;AA;41;Edge 490
AH;36;AH;39;Edge 491
AC;2;AE;34;Edge 492
AA;10;AC;37;Edge 493
AH;12;AJ;20;Edge 494
AB;24;AJ;44;Edge 495
AI;17;AE;25;Edge 496
AI;1;AH;31;Edge 497
AG;14;AC;39;Edge 498
AA;3;AH;11;Edge 499
AC;18;AF;33;Edge 500
AH;18;AJ;21;Edge 501
AG;20;AG;25;Edge 502
AD;27;AE;34;Edge 503
AB;2;AI;35;Edge 504
AD;7;AC;35;Edge 505
AH;15;AI;34;Edge 506
AF;1;AC;31;Edge 507
AC;25;AB;47;Edge 508
AH;27;AH;38;Edge 509
AJ;30;AC;33;Edge 510
AJ;25;AG;49;Edge 511
AF;8;AI;44;Edge 512
