Source;ValidFrom;Target;ValidTo;Label
DR;12;CR;245;Edge 1
DB;63;CY;209;Edge 2
CN;87;CT;156;Edge 3
BU;138;CS;157;Edge 4
BB;11;AL;48;Edge 5
DE;52;DK;138;Edge 6
DM;47;BB;58;Edge 7
BO;93;AK;158;Edge 8
DD;74;CC;104;Edge 9
AB;87;AI;172;Edge 10
AE;105;CD;156;Edge 11
DG;64;BN;117;Edge 12
CH;128;DU;168;Edge 13
DQ;30;DV;212;Edge 14
DD;32;BY;80;Edge 15
CK;47;DR;58;Edge 16
CI;20;CE;53;Edge 17
CX;90;BV;187;Edge 18
BS;125;BQ;243;Edge 19
DE;94;BP;148;Edge 20
BV;106;CD;162;Edge 21
BN;26;DC;163;Edge 22
AK;57;AX;195;Edge 23
BB;91;AO;222;Edge 24
DF;103;AD;239;Edge 25
BY;15;BW;81;Edge 26
BE;66;CE;242;Edge 27
AH;0;CE;10;Edge 28
DB;116;CD;179;Edge 29
CZ;84;BJ;226;Edge 30
CL;30;AW;46;Edge 31
DC;7;AH;125;Edge 32
AW;14;BX;204;Edge 33
DU;97;BG;172;Edge 34
CL;34;BW;65;Edge 35
CK;188;DJ;199;Edge 36
AM;25;BQ;63;Edge 37
BT;110;BS;159;Edge 38
DK;104;CX;199;Edge 39
AM;53;BD;60;Edge 40
DB;119;AU;163;Edge 41
BC;86;CL;146;Edge 42
AW;89;AG;127;Edge 43
AK;11;AF;148;Edge 44
AE;83;DU;244;Edge 45
DI;70;CI;200;Edge 46
BD;105;DL;198;Edge 47
DS;18;AF;166;Edge 48
BB;137;AA;232;Edge 49
BE;4;CI;27;Edge 50
AG;12;DN;132;Edge 51
AT;140;AH;234;Edge 52
CH;49;BJ;79;Edge 53
AE;127;BA;223;Edge 54
DE;57;DT;162;Edge 55
BO;23;AC;55;Edge 56
CV;108;BJ;223;Edge 57
BO;54;BC;118;Edge 58
AG;5;AC;47;Edge 59
BN;40;AI;60;Edge 60
AH;165;AM;207;Edge 61
BN;77;AZ;209;Edge 62
DD;7;BF;194;Edge 63
DE;15;BL;151;Edge 64
BT;35;CJ;159;Edge 65
BH;44;AT;46;Edge 66
DS;166;CC;187;Edge 67
DR;74;CD;231;Edge 68
AF;25;DD;142;Edge 69
DA;148;BT;242;Edge 70
DU;45;AV;232;Edge 71
DO;163;DT;227;Edge 72
AH;74;CF;98;Edge 73
BL;18;AL;241;Edge 74
CH;38;DT;88;Edge 75
AN;158;CO;204;Edge 76
CF;207;BW;224;Edge 77
DA;178;DC;237;Edge 78
DG;12;AT;82;Edge 79
AN;6;DR;84;Edge 80
DT;5;BG;58;Edge 81
CY;52;AP;108;Edge 82
AY;13;BW;162;Edge 83
CO;207;DP;227;Edge 84
CX;142;CR;213;Edge 85
AW;117;BU;229;Edge 86
AS;116;BW;163;Edge 87
AR;48;BV;143;Edge 88
DL;46;AU;234;Edge 89
BL;46;AO;89;Edge 90
BQ;62;CC;138;Edge 91
BW;16;AO;213;Edge 92
BT;61;CR;171;Edge 93
DU;142;BE;168;Edge 94
DP;48;CW;137;Edge 95
DQ;34;CR;241;Edge 96
DH;10;AS;229;Edge 97
CJ;177;AP;181;Edge 98
CY;120;CW;238;Edge 99
CU;149;BR;229;Edge 100
BI;182;DC;236;Edge 101
AE;146;CE;220;Edge 102
AZ;31;AE;221;Edge 103
CI;112;AL;167;Edge 104
AW;174;BL;213;Edge 105
CH;51;BK;138;Edge 106
AZ;92;DT;93;Edge 107
DM;48;CX;151;Edge 108
AN;83;AK;91;Edge 109
CW;22;DI;148;Edge 110
DB;11;AO;241;Edge 111
DO;86;AA;217;Edge 112
AR;31;DE;62;Edge 113
CD;32;AK;115;Edge 114
CM;202;CS;203;Edge 115
BS;145;BQ;172;Edge 116
AJ;124;BM;237;Edge 117
BM;34;BI;221;Edge 118
BH;27;DO;125;Edge 119
DK;100;AY;217;Edge 120
BB;81;CG;96;Edge 121
BX;95;AW;167;Edge 122
AQ;9;CO;91;Edge 123
BM;15;AL;166;Edge 124
DE;106;BA;184;Edge 125
DO;225;AS;226;Edge 126
CE;23;AP;81;Edge 127
CF;32;BF;186;Edge 128
