Source;ValidFrom;Target;ValidTo;Label
AD;1;AA;47;Edge 1
AG;9;AA;24;Edge 2
AF;37;AG;43;Edge 3
AI;30;AJ;39;Edge 4
AD;2;AG;43;Edge 5
AC;2;AB;36;Edge 6
AI;7;AI;14;Edge 7
AJ;34;AE;42;Edge 8
AC;5;AD;15;Edge 9
AE;5;AB;45;Edge 10
AE;31;AI;49;Edge 11
AD;17;AI;38;Edge 12
AJ;19;AF;43;Edge 13
AH;10;AG;32;Edge 14
AB;7;AH;23;Edge 15
AE;28;AF;35;Edge 16
AJ;21;AF;46;Edge 17
AA;17;AI;36;Edge 18
AJ;0;AH;6;Edge 19
AC;41;AI;43;Edge 20
AG;15;AJ;19;Edge 21
AJ;16;AI;17;Edge 22
AA;25;AB;30;Edge 23
AH;20;AD;48;Edge 24
AH;1;AC;44;Edge 25
AC;20;AA;40;Edge 26
AH;4;AB;8;Edge 27
AA;8;AA;12;Edge 28
AB;2;AF;34;Edge 29
AC;6;AH;30;Edge 30
AC;10;AA;23;Edge 31
AF;43;AB;44;Edge 32
AF;3;AH;5;Edge 33
AH;1;AG;8;Edge 34
AC;15;AD;29;Edge 35
AH;1;AC;3;Edge 36
AE;6;AB;23;Edge 37
AE;4;AI;17;Edge 38
AE;5;AC;49;Edge 39
AH;4;AH;29;Edge 40
AB;7;AH;15;Edge 41
AI;6;AI;30;Edge 42
AE;16;AI;17;Edge 43
AE;16;AG;37;Edge 44
AE;1;AE;19;Edge 45
AF;0;AD;4;Edge 46
AB;1;AJ;20;Edge 47
AI;16;AE;48;Edge 48
AD;0;AH;29;Edge 49
AF;25;AA;38;Edge 50
