Source;ValidFrom;Target;ValidTo;Label
BP;167;AD;249;Edge 1
AP;8;BF;121;Edge 2
AM;204;AC;207;Edge 3
AI;108;BM;205;Edge 4
AZ;52;BR;70;Edge 5
BT;153;AZ;222;Edge 6
AN;119;BQ;138;Edge 7
AI;18;AF;182;Edge 8
BR;158;AB;165;Edge 9
AR;21;AX;23;Edge 10
BQ;104;BQ;234;Edge 11
BS;80;AR;243;Edge 12
AO;98;BF;195;Edge 13
BR;54;AS;217;Edge 14
AU;52;AW;112;Edge 15
BP;142;AN;186;Edge 16
BG;38;BT;72;Edge 17
BM;22;AH;211;Edge 18
BM;40;BP;121;Edge 19
AU;39;BD;113;Edge 20
AD;53;BO;234;Edge 21
AY;12;AS;64;Edge 22
BC;68;AV;78;Edge 23
BE;136;BH;192;Edge 24
BM;47;AH;111;Edge 25
BG;179;AB;225;Edge 26
AP;98;AZ;100;Edge 27
BX;6;BT;235;Edge 28
BK;11;AE;38;Edge 29
AN;144;AF;227;Edge 30
AI;26;AJ;149;Edge 31
BV;151;AV;191;Edge 32
AZ;11;AT;184;Edge 33
BD;106;BK;115;Edge 34
AP;7;AJ;63;Edge 35
BI;179;BE;208;Edge 36
AX;1;AS;170;Edge 37
BJ;137;BF;218;Edge 38
BI;49;BB;148;Edge 39
BE;88;AP;216;Edge 40
AD;58;BX;74;Edge 41
BE;77;AH;174;Edge 42
BQ;167;BV;222;Edge 43
BP;126;AS;178;Edge 44
BD;8;BP;25;Edge 45
AO;150;AL;208;Edge 46
AL;145;BM;233;Edge 47
AX;150;BB;244;Edge 48
BX;29;AG;127;Edge 49
AZ;172;BF;176;Edge 50
BP;113;BM;206;Edge 51
AA;30;AA;168;Edge 52
BQ;163;BN;244;Edge 53
BD;53;AQ;215;Edge 54
BL;72;AG;245;Edge 55
AA;171;BB;203;Edge 56
AV;61;AZ;79;Edge 57
AU;7;AJ;48;Edge 58
AP;151;AK;235;Edge 59
BU;9;AM;25;Edge 60
BJ;62;BT;239;Edge 61
BT;69;AK;84;Edge 62
BI;141;BF;180;Edge 63
AE;42;AB;98;Edge 64
AB;133;AK;226;Edge 65
BU;42;AC;212;Edge 66
AI;65;AJ;187;Edge 67
BO;55;BD;79;Edge 68
BF;138;BU;147;Edge 69
AZ;48;AF;94;Edge 70
BH;143;AF;230;Edge 71
BF;11;AW;49;Edge 72
BO;18;AO;67;Edge 73
AX;70;BR;76;Edge 74
AE;21;BX;60;Edge 75
BO;81;AJ;93;Edge 76
AH;51;AX;81;Edge 77
AZ;56;BT;160;Edge 78
BT;11;AG;52;Edge 79
BM;55;BL;230;Edge 80
AB;109;AX;183;Edge 81
BE;44;AD;54;Edge 82
BB;58;BG;223;Edge 83
BS;37;AH;46;Edge 84
AW;127;AJ;223;Edge 85
BT;175;AM;201;Edge 86
AA;38;BP;110;Edge 87
AO;57;AC;146;Edge 88
AI;68;BM;174;Edge 89
BS;28;BB;96;Edge 90
AN;38;AU;84;Edge 91
BP;97;BT;188;Edge 92
BW;139;AL;185;Edge 93
BX;78;BO;96;Edge 94
BX;225;AD;248;Edge 95
AM;121;BQ;133;Edge 96
AQ;34;BA;167;Edge 97
BI;81;BE;154;Edge 98
BR;6;BJ;223;Edge 99
AW;37;AE;60;Edge 100
AP;108;BK;237;Edge 101
BQ;13;BL;122;Edge 102
AW;127;AB;160;Edge 103
BS;165;AQ;213;Edge 104
BJ;127;BJ;145;Edge 105
BA;167;AD;248;Edge 106
BD;85;AC;119;Edge 107
AJ;66;AT;163;Edge 108
AY;88;BP;170;Edge 109
AN;81;BH;213;Edge 110
AI;178;BK;234;Edge 111
BN;40;BW;46;Edge 112
AZ;116;AR;241;Edge 113
AZ;111;BJ;119;Edge 114
BE;145;AZ;211;Edge 115
BS;57;BM;108;Edge 116
AS;47;BJ;183;Edge 117
BO;34;AY;77;Edge 118
BL;90;AF;216;Edge 119
AO;202;AU;206;Edge 120
BQ;103;AT;144;Edge 121
BX;70;BU;222;Edge 122
AN;13;AH;73;Edge 123
BL;44;AB;138;Edge 124
AM;56;BW;104;Edge 125
AH;115;BM;143;Edge 126
BI;29;AE;213;Edge 127
