Source;ValidFrom;Target;ValidTo;Label
AJ;15;AC;20;Edge 1
AA;14;AF;17;Edge 2
AJ;3;AE;28;Edge 3
AC;19;AH;27;Edge 4
AB;20;AC;47;Edge 5
AE;22;AG;45;Edge 6
AH;2;AD;48;Edge 7
AB;3;AC;37;Edge 8
AE;2;AE;47;Edge 9
AI;18;AJ;28;Edge 10
AA;22;AE;34;Edge 11
AG;5;AC;8;Edge 12
AF;36;AA;49;Edge 13
AG;21;AB;30;Edge 14
AF;18;AH;19;Edge 15
AI;26;AJ;44;Edge 16
AF;33;AC;37;Edge 17
AG;3;AH;46;Edge 18
AB;39;AG;48;Edge 19
AA;41;AD;46;Edge 20
AI;10;AJ;37;Edge 21
AG;39;AC;45;Edge 22
AF;11;AI;37;Edge 23
AB;13;AF;21;Edge 24
AG;18;AB;26;Edge 25
AJ;36;AJ;47;Edge 26
AD;15;AA;37;Edge 27
AC;22;AA;27;Edge 28
AA;9;AA;30;Edge 29
AJ;10;AI;19;Edge 30
AC;27;AE;43;Edge 31
AF;7;AJ;41;Edge 32
AF;20;AI;23;Edge 33
AC;17;AD;26;Edge 34
AB;7;AF;44;Edge 35
AD;32;AH;38;Edge 36
AH;12;AH;13;Edge 37
AE;8;AE;27;Edge 38
AH;11;AG;16;Edge 39
AB;23;AG;44;Edge 40
AC;17;AH;26;Edge 41
AJ;25;AF;42;Edge 42
AG;27;AH;32;Edge 43
AD;8;AE;23;Edge 44
AF;0;AC;25;Edge 45
AE;1;AG;32;Edge 46
AA;14;AG;29;Edge 47
AF;23;AD;38;Edge 48
AD;25;AH;37;Edge 49
AD;14;AD;37;Edge 50
AB;25;AE;35;Edge 51
AG;30;AJ;40;Edge 52
AA;14;AB;17;Edge 53
AH;33;AH;37;Edge 54
AA;10;AB;30;Edge 55
AF;6;AA;43;Edge 56
AF;14;AI;26;Edge 57
AC;3;AJ;44;Edge 58
AI;16;AI;48;Edge 59
AF;38;AD;46;Edge 60
AE;36;AH;37;Edge 61
AB;31;AF;44;Edge 62
AJ;17;AF;38;Edge 63
AA;2;AF;11;Edge 64
AF;18;AD;29;Edge 65
AD;7;AI;10;Edge 66
AH;9;AG;13;Edge 67
AF;13;AC;46;Edge 68
AF;26;AE;34;Edge 69
AB;19;AD;44;Edge 70
AJ;0;AH;28;Edge 71
AF;5;AG;49;Edge 72
AC;14;AE;44;Edge 73
AA;7;AG;29;Edge 74
AB;21;AA;27;Edge 75
AF;16;AD;26;Edge 76
AI;1;AB;27;Edge 77
AI;0;AF;28;Edge 78
AH;33;AJ;37;Edge 79
AJ;11;AE;15;Edge 80
AF;32;AA;35;Edge 81
AH;12;AA;45;Edge 82
AB;35;AJ;43;Edge 83
AE;7;AH;10;Edge 84
AI;22;AH;32;Edge 85
