Source;ValidFrom;Target;ValidTo;Label
AJ;7;AD;12;Edge 1
AG;20;AF;27;Edge 2
AJ;2;AF;35;Edge 3
AE;9;AB;28;Edge 4
AI;31;AG;34;Edge 5
AA;16;AA;32;Edge 6
AG;14;AC;43;Edge 7
AH;3;AE;21;Edge 8
AC;31;AB;41;Edge 9
AE;15;AB;49;Edge 10
AG;30;AA;32;Edge 11
AC;21;AD;45;Edge 12
AG;6;AE;49;Edge 13
AA;8;AB;40;Edge 14
AI;37;AE;48;Edge 15
AH;6;AC;10;Edge 16
AE;7;AF;14;Edge 17
AD;9;AA;34;Edge 18
AB;11;AJ;39;Edge 19
AJ;2;AB;4;Edge 20
AG;0;AA;8;Edge 21
AG;27;AH;31;Edge 22
AH;19;AF;46;Edge 23
AC;16;AH;24;Edge 24
AD;20;AG;33;Edge 25
AH;8;AH;36;Edge 26
AA;10;AI;49;Edge 27
AF;18;AF;31;Edge 28
AA;14;AC;44;Edge 29
AD;7;AA;30;Edge 30
AF;17;AB;39;Edge 31
AF;16;AH;28;Edge 32
AJ;35;AH;44;Edge 33
AE;40;AB;41;Edge 34
AJ;32;AH;45;Edge 35
AF;4;AG;5;Edge 36
AH;31;AA;36;Edge 37
AF;15;AD;46;Edge 38
AI;2;AA;37;Edge 39
AA;3;AC;45;Edge 40
AJ;24;AH;42;Edge 41
AH;6;AI;17;Edge 42
AI;23;AA;47;Edge 43
AE;10;AF;17;Edge 44
AC;38;AB;44;Edge 45
AA;22;AG;32;Edge 46
AC;0;AH;29;Edge 47
AH;8;AI;12;Edge 48
AC;14;AH;37;Edge 49
AI;44;AH;46;Edge 50
AD;16;AA;33;Edge 51
AG;1;AE;32;Edge 52
AB;27;AC;43;Edge 53
AB;12;AA;35;Edge 54
AC;16;AB;48;Edge 55
AF;2;AH;49;Edge 56
AI;1;AD;37;Edge 57
AJ;21;AI;49;Edge 58
AB;10;AI;18;Edge 59
AH;24;AI;37;Edge 60
AC;5;AB;7;Edge 61
AD;13;AA;47;Edge 62
AH;24;AE;37;Edge 63
AI;13;AI;24;Edge 64
AI;22;AG;40;Edge 65
AD;27;AF;40;Edge 66
AB;38;AB;49;Edge 67
AC;6;AJ;7;Edge 68
AI;45;AA;49;Edge 69
AJ;12;AJ;49;Edge 70
AB;13;AE;41;Edge 71
