Source;ValidFrom;Target;ValidTo;Label
BN;22;DN;159;Edge 1
AP;32;DQ;98;Edge 2
DE;40;CQ;127;Edge 3
BL;33;AI;117;Edge 4
BJ;80;AJ;153;Edge 5
AP;90;CR;199;Edge 6
BO;103;BV;138;Edge 7
BY;115;AB;162;Edge 8
CC;180;AP;195;Edge 9
CK;68;DP;161;Edge 10
AH;66;BN;171;Edge 11
BX;118;BT;149;Edge 12
CG;1;BS;182;Edge 13
CZ;155;AA;158;Edge 14
AQ;48;BZ;132;Edge 15
DK;62;BI;141;Edge 16
BE;60;CY;86;Edge 17
AZ;114;CA;202;Edge 18
CN;148;DA;154;Edge 19
AQ;15;AY;124;Edge 20
AI;58;AH;188;Edge 21
DB;39;BV;191;Edge 22
DN;95;CC;176;Edge 23
BB;69;BG;134;Edge 24
AF;5;AA;147;Edge 25
DI;27;BD;214;Edge 26
CE;187;AR;220;Edge 27
CE;17;CK;229;Edge 28
CZ;3;CV;12;Edge 29
DL;33;BI;86;Edge 30
AE;128;BH;233;Edge 31
BS;126;AB;168;Edge 32
DD;47;CS;62;Edge 33
CG;130;BZ;142;Edge 34
BO;129;AX;167;Edge 35
BQ;32;BG;237;Edge 36
DH;16;CN;74;Edge 37
CZ;64;AI;155;Edge 38
CV;77;CM;192;Edge 39
DP;42;BG;226;Edge 40
CL;21;CH;70;Edge 41
BI;95;DB;132;Edge 42
DF;18;DF;100;Edge 43
BY;42;DA;87;Edge 44
BO;215;DV;222;Edge 45
CW;126;AR;241;Edge 46
CF;124;BB;186;Edge 47
CR;2;BI;33;Edge 48
BF;217;DR;240;Edge 49
CD;41;DV;189;Edge 50
BM;64;BC;205;Edge 51
BR;53;CI;106;Edge 52
AU;19;CI;118;Edge 53
CG;8;AL;60;Edge 54
BX;55;BM;138;Edge 55
AF;129;DM;225;Edge 56
BL;0;BT;155;Edge 57
AM;168;BH;175;Edge 58
BM;131;CS;207;Edge 59
CX;138;BG;242;Edge 60
CZ;6;AA;236;Edge 61
CN;13;CS;181;Edge 62
DG;140;AA;151;Edge 63
DE;196;BR;231;Edge 64
AS;189;AZ;218;Edge 65
CR;157;DC;164;Edge 66
BD;17;CW;190;Edge 67
AR;75;BB;96;Edge 68
CV;38;CG;235;Edge 69
AU;119;CB;172;Edge 70
DB;45;DG;246;Edge 71
CV;168;AB;211;Edge 72
BW;81;BN;170;Edge 73
AG;47;DD;198;Edge 74
AS;92;BT;156;Edge 75
AM;71;DI;231;Edge 76
BJ;94;AR;239;Edge 77
AF;88;DB;200;Edge 78
AA;230;BK;232;Edge 79
AM;7;CT;100;Edge 80
AD;92;BL;135;Edge 81
DU;94;AF;184;Edge 82
BY;63;BY;101;Edge 83
CD;36;DU;66;Edge 84
BK;110;CO;240;Edge 85
BJ;21;AX;31;Edge 86
BT;18;AF;39;Edge 87
DF;119;AT;134;Edge 88
CG;206;AC;220;Edge 89
AH;68;CP;226;Edge 90
AG;39;CH;158;Edge 91
DU;86;CX;154;Edge 92
AG;6;AK;181;Edge 93
CY;112;BX;230;Edge 94
CJ;36;DS;43;Edge 95
BK;142;BY;165;Edge 96
AD;15;CJ;159;Edge 97
AK;184;CO;204;Edge 98
BF;14;AK;199;Edge 99
CY;163;BQ;231;Edge 100
CK;57;DH;85;Edge 101
CZ;149;CD;221;Edge 102
DD;77;CD;103;Edge 103
BE;33;AP;44;Edge 104
