Source;ValidFrom;Target;ValidTo;Label
AE;24;AH;33;Edge 1
AB;34;AG;48;Edge 2
AF;24;AH;35;Edge 3
AG;11;AJ;42;Edge 4
AD;17;AD;29;Edge 5
AF;12;AJ;40;Edge 6
AJ;12;AG;44;Edge 7
AE;9;AG;22;Edge 8
AE;3;AJ;44;Edge 9
AJ;29;AG;38;Edge 10
AC;7;AI;44;Edge 11
AJ;8;AH;45;Edge 12
AJ;26;AD;36;Edge 13
AJ;14;AB;40;Edge 14
AA;23;AI;28;Edge 15
AB;9;AB;44;Edge 16
AD;4;AG;5;Edge 17
AJ;12;AH;13;Edge 18
AH;0;AI;29;Edge 19
AI;10;AH;31;Edge 20
AA;11;AH;43;Edge 21
AI;0;AD;22;Edge 22
AG;19;AE;34;Edge 23
AB;36;AB;39;Edge 24
AI;37;AF;40;Edge 25
AG;0;AB;20;Edge 26
AD;17;AG;19;Edge 27
AJ;9;AD;16;Edge 28
AG;22;AE;27;Edge 29
AH;13;AA;28;Edge 30
AD;22;AB;37;Edge 31
AA;17;AE;46;Edge 32
AH;6;AI;24;Edge 33
AI;2;AG;6;Edge 34
AE;11;AI;36;Edge 35
AB;4;AG;40;Edge 36
AD;20;AH;30;Edge 37
AA;5;AH;29;Edge 38
AF;21;AF;44;Edge 39
AB;2;AJ;28;Edge 40
AD;21;AD;22;Edge 41
AE;27;AG;43;Edge 42
AE;26;AG;48;Edge 43
AF;1;AB;46;Edge 44
AG;7;AB;13;Edge 45
AG;33;AB;35;Edge 46
AJ;8;AH;23;Edge 47
AD;22;AE;42;Edge 48
AJ;4;AA;10;Edge 49
AC;17;AJ;45;Edge 50
AE;35;AA;38;Edge 51
AI;4;AC;14;Edge 52
AA;23;AI;34;Edge 53
AE;27;AJ;43;Edge 54
AC;25;AG;40;Edge 55
AH;16;AF;22;Edge 56
AG;4;AF;28;Edge 57
AB;7;AC;46;Edge 58
AC;29;AE;45;Edge 59
AD;24;AI;36;Edge 60
AE;6;AC;10;Edge 61
AB;27;AI;49;Edge 62
AJ;1;AG;34;Edge 63
AJ;2;AG;32;Edge 64
AJ;20;AJ;40;Edge 65
AI;2;AC;3;Edge 66
AE;15;AI;48;Edge 67
AJ;43;AI;44;Edge 68
AG;31;AE;47;Edge 69
AH;30;AD;41;Edge 70
AH;2;AD;23;Edge 71
AE;1;AB;30;Edge 72
AA;47;AH;48;Edge 73
AI;2;AE;24;Edge 74
AF;24;AI;35;Edge 75
AA;13;AI;26;Edge 76
AB;30;AG;33;Edge 77
AJ;14;AE;44;Edge 78
AF;25;AH;38;Edge 79
AE;1;AB;2;Edge 80
AJ;24;AA;47;Edge 81
AJ;17;AG;24;Edge 82
AE;5;AG;23;Edge 83
AC;12;AG;31;Edge 84
AH;4;AH;31;Edge 85
AE;39;AA;40;Edge 86
AE;16;AD;33;Edge 87
AE;19;AJ;33;Edge 88
AB;31;AE;33;Edge 89
AE;19;AD;41;Edge 90
AB;21;AI;48;Edge 91
AE;24;AI;34;Edge 92
AA;21;AH;49;Edge 93
AJ;16;AG;23;Edge 94
AF;14;AB;42;Edge 95
AA;24;AB;31;Edge 96
AF;26;AE;31;Edge 97
AC;26;AE;49;Edge 98
AI;0;AI;19;Edge 99
AF;12;AI;44;Edge 100
