Source;ValidFrom;Target;ValidTo;Label
AL;156;BH;184;Edge 1
AT;72;AJ;233;Edge 2
AW;150;AS;159;Edge 3
AM;37;BG;55;Edge 4
AC;129;AL;248;Edge 5
BA;13;BH;240;Edge 6
BB;84;AO;183;Edge 7
BV;19;AL;142;Edge 8
AC;82;BE;106;Edge 9
BS;95;BT;204;Edge 10
AQ;32;AD;204;Edge 11
AU;28;AT;217;Edge 12
AH;134;AL;184;Edge 13
BR;71;BM;133;Edge 14
BH;50;BU;223;Edge 15
AS;123;AS;180;Edge 16
BD;118;AQ;140;Edge 17
AX;128;AM;164;Edge 18
AA;31;BF;40;Edge 19
BB;162;AS;223;Edge 20
AB;10;BS;217;Edge 21
BP;133;AO;226;Edge 22
AC;60;AQ;144;Edge 23
AI;170;BC;240;Edge 24
BQ;29;AZ;159;Edge 25
BS;142;BN;242;Edge 26
BU;236;BK;237;Edge 27
AK;11;AP;105;Edge 28
AG;146;BV;197;Edge 29
AJ;79;AU;195;Edge 30
AD;137;AC;223;Edge 31
AX;18;BA;145;Edge 32
BT;113;BO;244;Edge 33
BG;177;AZ;221;Edge 34
BP;92;AY;243;Edge 35
BA;21;AV;139;Edge 36
BX;142;BF;162;Edge 37
AW;55;BQ;114;Edge 38
BP;73;AQ;187;Edge 39
AY;24;AN;91;Edge 40
AC;137;AQ;212;Edge 41
AD;173;BA;240;Edge 42
BN;158;BC;248;Edge 43
AV;45;BF;239;Edge 44
AU;166;AC;243;Edge 45
AE;116;BD;159;Edge 46
AT;116;AN;199;Edge 47
BR;13;BB;192;Edge 48
BV;74;AM;211;Edge 49
BB;71;BV;107;Edge 50
AW;127;AR;149;Edge 51
BT;45;AJ;85;Edge 52
BN;92;AJ;186;Edge 53
BS;152;BV;155;Edge 54
AI;169;AI;219;Edge 55
AI;40;AY;97;Edge 56
AH;82;BM;199;Edge 57
AL;70;AI;79;Edge 58
BJ;60;AW;186;Edge 59
BH;45;AP;106;Edge 60
BP;116;BM;243;Edge 61
BG;68;BX;247;Edge 62
BL;73;AF;143;Edge 63
AX;147;AW;237;Edge 64
BU;62;AN;226;Edge 65
BE;70;AO;85;Edge 66
AY;92;AU;226;Edge 67
BX;200;AO;238;Edge 68
AQ;10;BG;80;Edge 69
AH;183;AA;230;Edge 70
BF;80;BR;137;Edge 71
AW;129;AL;196;Edge 72
AK;134;BJ;158;Edge 73
BI;188;BO;242;Edge 74
BM;139;BK;170;Edge 75
BM;35;BM;121;Edge 76
AU;39;AR;121;Edge 77
AL;21;AX;103;Edge 78
BG;76;BX;91;Edge 79
BE;69;AT;174;Edge 80
BR;193;AR;219;Edge 81
AM;10;BE;18;Edge 82
BX;95;AD;245;Edge 83
BU;132;AG;235;Edge 84
BP;196;BQ;217;Edge 85
AK;156;BW;201;Edge 86
AL;12;AG;242;Edge 87
BI;18;BU;195;Edge 88
AK;13;BI;83;Edge 89
AU;44;AF;71;Edge 90
BC;218;BM;242;Edge 91
AA;98;AX;126;Edge 92
BG;6;BG;108;Edge 93
BG;104;BF;153;Edge 94
AK;48;BI;206;Edge 95
AX;140;AH;220;Edge 96
BM;44;BA;169;Edge 97
AP;48;BM;76;Edge 98
BL;58;BB;68;Edge 99
BX;18;AT;20;Edge 100
AG;45;AB;54;Edge 101
AH;31;BI;152;Edge 102
BK;87;BK;249;Edge 103
BJ;68;BR;161;Edge 104
AO;26;AZ;235;Edge 105
AR;90;BP;209;Edge 106
BE;129;AY;196;Edge 107
AW;54;AV;169;Edge 108
BN;15;BF;34;Edge 109
BC;71;AN;231;Edge 110
AX;81;BV;161;Edge 111
AR;9;BK;48;Edge 112
AA;32;BM;169;Edge 113
AL;165;AF;184;Edge 114
AX;14;AR;51;Edge 115
BQ;143;BA;222;Edge 116
BU;142;AN;240;Edge 117
AY;137;BB;182;Edge 118
AB;167;AK;169;Edge 119
AB;163;BR;228;Edge 120
AF;79;BM;88;Edge 121
BK;87;AT;163;Edge 122
AW;240;BT;248;Edge 123
AK;40;BM;125;Edge 124
AG;108;BV;173;Edge 125
BL;110;AA;215;Edge 126
BH;138;BX;147;Edge 127
BP;106;BP;247;Edge 128
BA;124;BD;176;Edge 129
AQ;162;BN;230;Edge 130
AK;11;BQ;100;Edge 131
BR;72;AU;188;Edge 132
AJ;134;AG;202;Edge 133
AZ;59;AB;216;Edge 134
AM;131;AQ;232;Edge 135
AK;61;BH;204;Edge 136
BX;25;AO;180;Edge 137
AP;43;AU;84;Edge 138
AE;214;BF;231;Edge 139
BJ;0;AI;162;Edge 140
AM;104;AS;213;Edge 141
AN;34;BM;47;Edge 142
AX;46;BW;79;Edge 143
AM;204;AT;209;Edge 144
AJ;99;BD;194;Edge 145
AF;81;AV;97;Edge 146
AX;43;BN;190;Edge 147
AT;116;BL;216;Edge 148
AL;29;AC;44;Edge 149
AW;144;AG;204;Edge 150
AL;32;BF;185;Edge 151
AF;54;BB;116;Edge 152
AR;36;BM;198;Edge 153
BJ;196;AI;230;Edge 154
AL;99;AU;213;Edge 155
AA;175;BA;198;Edge 156
AR;113;AV;190;Edge 157
BS;54;AM;159;Edge 158
AT;62;BG;235;Edge 159
BN;70;AI;188;Edge 160
BX;119;BU;170;Edge 161
BC;94;BG;229;Edge 162
BH;20;BQ;94;Edge 163
BX;20;BI;76;Edge 164
AH;3;BW;198;Edge 165
BR;84;BV;243;Edge 166
BG;124;BS;219;Edge 167
AE;136;BQ;238;Edge 168
BS;123;AO;156;Edge 169
BD;193;AK;240;Edge 170
AZ;82;BI;190;Edge 171
AC;42;AS;173;Edge 172
AY;43;BQ;186;Edge 173
AM;13;BE;192;Edge 174
BR;151;BN;178;Edge 175
BR;223;AJ;234;Edge 176
AU;34;BU;127;Edge 177
AV;12;BB;73;Edge 178
AN;179;AE;184;Edge 179
BM;12;AO;156;Edge 180
AD;4;BQ;16;Edge 181
BS;82;AM;113;Edge 182
AS;87;BL;193;Edge 183
AW;134;AW;172;Edge 184
BS;72;BL;169;Edge 185
AB;82;BP;95;Edge 186
BO;35;AG;244;Edge 187
BV;129;AW;180;Edge 188
BT;160;AK;227;Edge 189
AN;95;BQ;241;Edge 190
BL;9;BM;191;Edge 191
AU;149;AR;195;Edge 192
BD;92;BC;166;Edge 193
AW;130;AM;190;Edge 194
AH;70;BF;142;Edge 195
BG;5;AG;221;Edge 196
AT;11;AI;223;Edge 197
AW;98;BV;231;Edge 198
BK;53;AL;67;Edge 199
BC;50;AR;200;Edge 200
AZ;163;BB;202;Edge 201
BV;26;BE;138;Edge 202
AD;58;AA;62;Edge 203
BF;68;AG;78;Edge 204
BU;67;AQ;108;Edge 205
AF;23;AW;108;Edge 206
AS;28;BN;226;Edge 207
AV;190;AU;241;Edge 208
AG;123;AO;171;Edge 209
AG;5;BD;213;Edge 210
BO;170;AC;192;Edge 211
BK;30;AF;125;Edge 212
BW;164;BE;166;Edge 213
AS;49;AX;196;Edge 214
AI;52;BH;58;Edge 215
AE;11;AG;249;Edge 216
BD;23;BM;148;Edge 217
AC;65;BK;248;Edge 218
BG;58;BL;135;Edge 219
AQ;209;BH;239;Edge 220
AS;104;BI;188;Edge 221
AG;56;AJ;225;Edge 222
AU;4;BT;177;Edge 223
BT;1;AG;101;Edge 224
BA;11;BU;198;Edge 225
AN;220;BX;221;Edge 226
AO;59;BC;72;Edge 227
BS;2;AK;27;Edge 228
BA;6;BV;54;Edge 229
BR;159;BC;236;Edge 230
BU;209;AW;242;Edge 231
AE;60;AN;222;Edge 232
BG;81;AL;238;Edge 233
AY;16;BO;113;Edge 234
BW;62;AD;222;Edge 235
BK;90;AE;204;Edge 236
AM;182;AM;222;Edge 237
AB;133;AL;143;Edge 238
BG;70;BN;72;Edge 239
AX;143;BP;200;Edge 240
BC;75;AY;87;Edge 241
AR;98;AB;242;Edge 242
BG;93;AZ;217;Edge 243
BL;86;AK;246;Edge 244
BQ;59;AM;180;Edge 245
BP;169;AY;182;Edge 246
BV;61;BW;189;Edge 247
AZ;12;AK;136;Edge 248
AK;110;AR;231;Edge 249
AL;75;AD;156;Edge 250
AW;48;BT;222;Edge 251
AV;39;BK;49;Edge 252
BM;51;BV;72;Edge 253
AV;9;BO;96;Edge 254
AJ;71;BC;130;Edge 255
AO;45;BQ;65;Edge 256
AW;219;BT;245;Edge 257
BD;86;BA;209;Edge 258
AW;20;AN;67;Edge 259
AD;63;AG;98;Edge 260
AN;152;AZ;229;Edge 261
AH;69;AP;219;Edge 262
BE;179;AJ;200;Edge 263
BX;101;AS;210;Edge 264
AA;30;BG;44;Edge 265
AL;156;BL;217;Edge 266
BD;55;AI;87;Edge 267
AQ;84;AY;144;Edge 268
BD;123;AR;231;Edge 269
BW;69;BD;175;Edge 270
AS;8;BW;19;Edge 271
AS;70;BU;150;Edge 272
BG;55;BK;160;Edge 273
AE;14;BU;30;Edge 274
