Source;ValidFrom;Target;ValidTo;Label
DS;18;DO;150;Edge 1
AY;111;AH;233;Edge 2
DH;92;DP;239;Edge 3
CU;20;CI;135;Edge 4
CZ;106;CU;182;Edge 5
CJ;95;DO;224;Edge 6
DC;53;AD;220;Edge 7
BL;13;BM;209;Edge 8
DG;216;DJ;230;Edge 9
BZ;98;BQ;228;Edge 10
BA;160;AM;225;Edge 11
DQ;39;AZ;174;Edge 12
BV;2;AP;164;Edge 13
BI;108;CU;114;Edge 14
CL;63;BP;97;Edge 15
DG;137;BE;233;Edge 16
DO;37;DP;61;Edge 17
BY;54;CA;93;Edge 18
DV;93;AT;189;Edge 19
BV;76;AG;79;Edge 20
CA;50;CW;181;Edge 21
DB;190;BR;232;Edge 22
AK;168;CC;243;Edge 23
AJ;164;AB;198;Edge 24
CS;3;AG;59;Edge 25
DI;56;CT;152;Edge 26
CE;51;BO;242;Edge 27
DM;2;CS;133;Edge 28
BG;54;AB;148;Edge 29
AN;9;DL;164;Edge 30
CB;31;DK;152;Edge 31
DQ;103;AG;249;Edge 32
DV;93;AV;94;Edge 33
CT;69;DK;107;Edge 34
CL;131;DP;215;Edge 35
AU;172;BE;232;Edge 36
CQ;103;CA;126;Edge 37
DK;203;DK;242;Edge 38
BW;48;AP;83;Edge 39
BZ;7;AK;99;Edge 40
AX;195;DU;229;Edge 41
BV;84;DE;192;Edge 42
BG;10;AK;106;Edge 43
CM;36;BG;207;Edge 44
BC;0;CJ;149;Edge 45
DI;113;CJ;138;Edge 46
BE;158;CL;169;Edge 47
AZ;80;DS;171;Edge 48
AB;8;BQ;152;Edge 49
DO;210;DI;227;Edge 50
DJ;9;CY;13;Edge 51
DQ;85;CY;193;Edge 52
BH;142;BE;244;Edge 53
BR;32;BW;96;Edge 54
DE;84;CL;226;Edge 55
AX;64;DR;78;Edge 56
DM;4;AM;167;Edge 57
CF;154;CV;167;Edge 58
BS;87;DO;240;Edge 59
CM;173;CL;236;Edge 60
CB;68;CI;142;Edge 61
DM;36;AL;184;Edge 62
BJ;96;BI;156;Edge 63
