Source;ValidFrom;Target;ValidTo;Label
DB;35;AR;142;Edge 1
AM;4;AT;230;Edge 2
BS;19;AN;112;Edge 3
AH;106;BG;181;Edge 4
BY;96;BY;154;Edge 5
AN;77;DG;233;Edge 6
CF;106;BD;205;Edge 7
DO;97;BZ;121;Edge 8
AP;166;AA;215;Edge 9
BA;172;BP;215;Edge 10
BQ;6;AW;116;Edge 11
AT;116;BW;238;Edge 12
AJ;18;CK;214;Edge 13
BF;54;DB;142;Edge 14
DN;33;CG;182;Edge 15
AX;114;CJ;128;Edge 16
CB;133;BQ;244;Edge 17
DV;7;BD;193;Edge 18
CU;181;BB;216;Edge 19
DU;166;BO;238;Edge 20
BS;94;DS;122;Edge 21
DQ;146;AQ;205;Edge 22
CQ;106;DA;216;Edge 23
BZ;38;BO;183;Edge 24
CC;107;DG;128;Edge 25
CV;3;AK;100;Edge 26
DS;20;CP;131;Edge 27
BQ;85;DR;245;Edge 28
BX;115;BF;199;Edge 29
DK;90;AI;215;Edge 30
AM;60;CR;238;Edge 31
BI;137;AC;169;Edge 32
BH;20;DK;225;Edge 33
AZ;199;CK;202;Edge 34
DH;46;CY;200;Edge 35
AU;69;BV;121;Edge 36
DL;187;AB;246;Edge 37
AY;66;DT;207;Edge 38
DD;196;CG;246;Edge 39
CI;78;BB;99;Edge 40
BJ;138;DP;187;Edge 41
BP;5;BZ;95;Edge 42
AG;140;CY;183;Edge 43
CS;79;BA;155;Edge 44
BX;7;AJ;65;Edge 45
DH;38;DR;234;Edge 46
BC;39;CT;131;Edge 47
AZ;39;DE;74;Edge 48
AR;5;CL;150;Edge 49
DK;26;CM;69;Edge 50
CG;92;DG;243;Edge 51
AI;62;AH;242;Edge 52
BS;33;CB;230;Edge 53
CG;76;CS;199;Edge 54
AN;77;CV;235;Edge 55
DA;172;DR;206;Edge 56
DP;30;DE;97;Edge 57
CN;64;BG;146;Edge 58
BE;7;CC;155;Edge 59
DJ;69;DK;206;Edge 60
DG;132;BJ;213;Edge 61
AC;121;DB;185;Edge 62
CV;105;BD;191;Edge 63
AA;95;BH;131;Edge 64
AQ;211;CU;221;Edge 65
DI;3;CZ;101;Edge 66
DE;142;CD;213;Edge 67
DH;172;DL;202;Edge 68
CJ;144;DE;210;Edge 69
BJ;15;AZ;157;Edge 70
AS;99;DK;100;Edge 71
DR;116;BB;165;Edge 72
CW;69;BJ;206;Edge 73
DC;143;DB;172;Edge 74
CA;93;CS;154;Edge 75
AP;37;DD;88;Edge 76
CP;147;AK;156;Edge 77
CE;99;BO;207;Edge 78
BW;78;DR;94;Edge 79
AQ;111;AA;183;Edge 80
AS;3;AT;198;Edge 81
AY;13;CW;157;Edge 82
DK;1;AQ;197;Edge 83
CI;60;BL;105;Edge 84
BB;96;DU;231;Edge 85
DC;30;DQ;220;Edge 86
DV;32;BD;217;Edge 87
AQ;122;BR;156;Edge 88
AN;20;AJ;41;Edge 89
DO;7;CX;66;Edge 90
AI;216;DU;243;Edge 91
BF;22;AH;171;Edge 92
CL;57;DQ;143;Edge 93
AN;36;BC;213;Edge 94
AN;70;CJ;202;Edge 95
AM;108;DP;149;Edge 96
AN;94;BX;247;Edge 97
BN;9;AO;157;Edge 98
DA;5;CX;157;Edge 99
CD;42;AX;242;Edge 100
DJ;243;BV;245;Edge 101
BJ;83;AK;145;Edge 102
BJ;69;BQ;123;Edge 103
DN;162;CE;242;Edge 104
CM;179;DD;201;Edge 105
AC;22;AQ;99;Edge 106
AW;9;CP;178;Edge 107
DG;130;AW;202;Edge 108
AJ;29;CH;38;Edge 109
AV;36;AT;105;Edge 110
AZ;28;AM;224;Edge 111
BG;92;BP;202;Edge 112
BB;30;AM;162;Edge 113
BE;93;DO;202;Edge 114
CA;27;CT;125;Edge 115
BF;29;AB;98;Edge 116
DB;32;CN;241;Edge 117
DF;17;CC;184;Edge 118
AM;87;BN;201;Edge 119
BU;64;BA;223;Edge 120
BD;16;AI;173;Edge 121
BN;49;CK;227;Edge 122
BC;73;AO;206;Edge 123
BE;42;DO;244;Edge 124
BV;174;BN;248;Edge 125
BJ;51;CO;171;Edge 126
CE;4;DB;151;Edge 127
CH;126;BT;156;Edge 128
BQ;1;AJ;3;Edge 129
DL;9;DS;31;Edge 130
BK;3;AZ;134;Edge 131
AT;111;CK;226;Edge 132
CD;12;BA;196;Edge 133
DG;157;AO;194;Edge 134
BW;56;CH;230;Edge 135
AD;42;AH;59;Edge 136
DD;92;CW;115;Edge 137
DJ;85;DL;158;Edge 138
AA;56;BK;195;Edge 139
CE;20;BR;131;Edge 140
BW;5;DM;217;Edge 141
BV;13;BZ;153;Edge 142
BA;134;DP;229;Edge 143
BP;108;BE;137;Edge 144
