Source;ValidFrom;Target;ValidTo;Label
AS;133;BL;229;Edge 1
BE;2;AS;70;Edge 2
AZ;132;AG;134;Edge 3
AX;9;BW;11;Edge 4
AG;45;AE;214;Edge 5
BN;32;AJ;146;Edge 6
BN;162;BN;201;Edge 7
AI;46;BO;149;Edge 8
AB;4;BP;209;Edge 9
BR;95;AU;229;Edge 10
AT;5;AL;248;Edge 11
BS;100;AH;163;Edge 12
AM;127;BP;195;Edge 13
BD;73;BD;108;Edge 14
BH;57;AS;91;Edge 15
AC;122;AJ;155;Edge 16
AJ;200;AH;205;Edge 17
AP;138;AN;203;Edge 18
BX;116;AU;240;Edge 19
AD;67;AA;81;Edge 20
AO;60;BK;175;Edge 21
BH;50;AV;90;Edge 22
BA;40;BM;103;Edge 23
AW;22;AV;236;Edge 24
BU;141;BH;210;Edge 25
AW;135;BJ;228;Edge 26
AW;58;BE;244;Edge 27
BD;98;BF;239;Edge 28
AA;11;AR;177;Edge 29
AN;170;BJ;176;Edge 30
BU;192;BR;217;Edge 31
AW;145;AL;187;Edge 32
BC;110;AP;169;Edge 33
AW;69;BW;132;Edge 34
BF;11;BX;26;Edge 35
BP;18;AR;39;Edge 36
AD;101;BX;184;Edge 37
BG;60;AI;120;Edge 38
BT;180;BQ;226;Edge 39
AX;35;BX;57;Edge 40
BT;5;AE;83;Edge 41
BS;25;BO;153;Edge 42
BD;13;BI;228;Edge 43
BT;196;AR;244;Edge 44
AS;24;BW;191;Edge 45
AD;44;AP;67;Edge 46
AX;145;AE;174;Edge 47
AH;67;BB;132;Edge 48
BU;151;AZ;177;Edge 49
AB;64;BC;125;Edge 50
AM;223;BQ;244;Edge 51
BT;84;AO;155;Edge 52
BV;86;AF;209;Edge 53
AF;154;BK;164;Edge 54
AU;80;AK;179;Edge 55
BR;167;BV;229;Edge 56
BI;135;AJ;183;Edge 57
AH;139;BI;247;Edge 58
AO;20;BJ;135;Edge 59
AR;204;AV;215;Edge 60
BQ;168;BE;230;Edge 61
AH;34;BG;155;Edge 62
AQ;109;AY;233;Edge 63
AI;76;BH;100;Edge 64
AQ;135;BR;231;Edge 65
AJ;24;AU;213;Edge 66
AS;83;AL;188;Edge 67
BP;43;BN;86;Edge 68
AX;22;AA;215;Edge 69
AJ;42;BL;155;Edge 70
AD;165;AV;224;Edge 71
BM;114;BT;190;Edge 72
BB;171;AW;215;Edge 73
BK;26;BE;191;Edge 74
BC;6;BF;64;Edge 75
AF;118;BI;171;Edge 76
BU;124;AY;173;Edge 77
BQ;14;AL;131;Edge 78
AF;63;BC;186;Edge 79
AY;57;AP;167;Edge 80
AI;183;BA;197;Edge 81
BX;177;AG;190;Edge 82
BX;112;BA;128;Edge 83
AK;109;AY;204;Edge 84
BV;10;AS;111;Edge 85
BG;7;AH;37;Edge 86
AW;4;BF;7;Edge 87
BG;116;BK;223;Edge 88
AA;101;BS;189;Edge 89
AT;231;AG;245;Edge 90
BO;165;AE;244;Edge 91
BV;47;BE;147;Edge 92
BM;15;BV;220;Edge 93
BA;30;BU;76;Edge 94
BI;7;BN;62;Edge 95
BK;18;AU;148;Edge 96
AB;78;BE;159;Edge 97
AE;189;BN;211;Edge 98
AS;11;AW;27;Edge 99
BC;71;BK;160;Edge 100
