Source;ValidFrom;Target;ValidTo;Label
AJ;14;AB;18;Edge 1
AB;6;AJ;44;Edge 2
AD;9;AJ;12;Edge 3
AC;14;AH;39;Edge 4
AJ;31;AI;44;Edge 5
AF;15;AJ;27;Edge 6
AG;21;AJ;36;Edge 7
AD;30;AC;45;Edge 8
AI;27;AA;47;Edge 9
AE;33;AD;35;Edge 10
AF;17;AE;27;Edge 11
AJ;12;AC;48;Edge 12
AH;10;AF;46;Edge 13
AG;5;AI;25;Edge 14
AF;3;AF;49;Edge 15
AI;25;AC;36;Edge 16
AG;30;AJ;31;Edge 17
AE;42;AF;49;Edge 18
AA;0;AB;5;Edge 19
AE;37;AE;44;Edge 20
AF;7;AA;13;Edge 21
AC;17;AG;20;Edge 22
AC;29;AE;35;Edge 23
AA;26;AF;41;Edge 24
AD;23;AH;38;Edge 25
AD;2;AD;7;Edge 26
AB;13;AE;18;Edge 27
AE;10;AA;25;Edge 28
AJ;13;AJ;48;Edge 29
AF;9;AA;43;Edge 30
AG;10;AC;47;Edge 31
AI;34;AA;41;Edge 32
AG;21;AI;28;Edge 33
AC;6;AA;45;Edge 34
AB;17;AE;31;Edge 35
AG;6;AF;31;Edge 36
AA;3;AJ;24;Edge 37
AJ;24;AF;41;Edge 38
AA;27;AF;46;Edge 39
AB;12;AI;29;Edge 40
AI;3;AH;33;Edge 41
AB;28;AD;30;Edge 42
AG;15;AH;18;Edge 43
AH;35;AJ;43;Edge 44
AH;1;AG;3;Edge 45
AF;24;AJ;31;Edge 46
AC;21;AI;29;Edge 47
AF;25;AG;32;Edge 48
AA;2;AB;15;Edge 49
AI;0;AG;26;Edge 50
AB;0;AA;1;Edge 51
AF;2;AG;43;Edge 52
AH;8;AD;34;Edge 53
AF;1;AA;24;Edge 54
AG;18;AC;47;Edge 55
AI;0;AF;14;Edge 56
AC;19;AI;49;Edge 57
AG;19;AD;45;Edge 58
AD;11;AB;24;Edge 59
AC;30;AH;36;Edge 60
AG;10;AJ;22;Edge 61
AH;6;AE;40;Edge 62
AD;7;AA;23;Edge 63
AJ;11;AB;13;Edge 64
AC;2;AH;39;Edge 65
AC;19;AE;37;Edge 66
AJ;7;AE;41;Edge 67
AD;40;AG;41;Edge 68
AD;17;AH;44;Edge 69
AI;5;AG;23;Edge 70
AD;22;AD;36;Edge 71
AF;7;AJ;47;Edge 72
AD;12;AC;17;Edge 73
AH;0;AB;1;Edge 74
AC;33;AI;48;Edge 75
AG;16;AE;45;Edge 76
AI;3;AE;14;Edge 77
AF;33;AB;40;Edge 78
AI;2;AB;45;Edge 79
AC;35;AF;40;Edge 80
AE;3;AH;39;Edge 81
AD;19;AF;23;Edge 82
AE;34;AJ;38;Edge 83
AE;18;AE;20;Edge 84
AD;8;AB;44;Edge 85
AE;22;AH;43;Edge 86
AA;20;AA;44;Edge 87
AF;3;AC;38;Edge 88
AD;13;AC;21;Edge 89
AI;7;AB;23;Edge 90
AI;10;AJ;44;Edge 91
AD;18;AH;46;Edge 92
AB;11;AI;36;Edge 93
AI;2;AD;19;Edge 94
AE;11;AG;14;Edge 95
AD;19;AJ;43;Edge 96
AA;8;AG;49;Edge 97
AD;4;AB;35;Edge 98
AE;13;AF;17;Edge 99
AA;9;AB;46;Edge 100
AB;14;AH;30;Edge 101
AB;10;AH;13;Edge 102
AA;8;AJ;36;Edge 103
AI;8;AD;16;Edge 104
AH;2;AE;18;Edge 105
AG;4;AH;27;Edge 106
AA;1;AD;14;Edge 107
AB;17;AG;30;Edge 108
AE;19;AE;41;Edge 109
AD;24;AJ;31;Edge 110
AI;7;AG;34;Edge 111
AD;15;AH;40;Edge 112
AC;27;AC;35;Edge 113
AJ;30;AA;34;Edge 114
AJ;10;AH;40;Edge 115
AG;0;AC;22;Edge 116
AJ;20;AB;21;Edge 117
AA;17;AI;49;Edge 118
AE;23;AB;41;Edge 119
AI;31;AH;39;Edge 120
AH;32;AI;40;Edge 121
AH;23;AJ;38;Edge 122
AG;6;AJ;40;Edge 123
AG;0;AD;19;Edge 124
AC;34;AD;39;Edge 125
AG;9;AC;47;Edge 126
AF;11;AJ;37;Edge 127
AB;9;AI;32;Edge 128
AJ;23;AI;43;Edge 129
AI;6;AH;11;Edge 130
AB;7;AG;33;Edge 131
AF;31;AC;34;Edge 132
AC;8;AC;33;Edge 133
AB;2;AB;38;Edge 134
AB;17;AC;19;Edge 135
AH;42;AE;45;Edge 136
