Source;ValidFrom;Target;ValidTo;Label
AE;10;AH;47;Edge 1
AH;32;AC;34;Edge 2
AH;25;AI;47;Edge 3
AA;2;AB;5;Edge 4
AD;4;AG;32;Edge 5
AD;4;AC;8;Edge 6
AF;9;AF;14;Edge 7
AE;1;AD;23;Edge 8
AG;6;AF;34;Edge 9
AF;10;AD;49;Edge 10
AH;4;AI;45;Edge 11
AG;9;AB;13;Edge 12
AI;25;AF;28;Edge 13
AG;11;AF;27;Edge 14
AB;1;AE;9;Edge 15
AH;7;AF;42;Edge 16
AC;19;AG;24;Edge 17
AG;36;AJ;43;Edge 18
AE;16;AH;18;Edge 19
AA;19;AJ;21;Edge 20
AJ;41;AE;42;Edge 21
AI;9;AC;35;Edge 22
AB;23;AE;35;Edge 23
AH;14;AJ;30;Edge 24
AD;26;AE;34;Edge 25
AH;26;AH;38;Edge 26
AD;0;AI;40;Edge 27
AH;9;AG;49;Edge 28
AC;12;AC;31;Edge 29
AF;32;AB;35;Edge 30
AC;34;AC;37;Edge 31
AD;20;AG;40;Edge 32
AC;24;AF;49;Edge 33
AD;16;AJ;48;Edge 34
AG;6;AD;10;Edge 35
AF;13;AB;18;Edge 36
AG;43;AA;49;Edge 37
AB;10;AC;38;Edge 38
AJ;39;AG;44;Edge 39
AH;36;AB;44;Edge 40
AI;15;AA;34;Edge 41
AC;11;AD;15;Edge 42
AB;33;AH;37;Edge 43
AG;12;AG;18;Edge 44
AG;15;AD;19;Edge 45
AA;17;AH;19;Edge 46
AB;17;AJ;48;Edge 47
AC;39;AC;45;Edge 48
AA;13;AF;25;Edge 49
AC;0;AI;49;Edge 50
AG;5;AJ;16;Edge 51
AA;14;AG;15;Edge 52
AA;28;AA;49;Edge 53
AF;17;AG;28;Edge 54
AB;9;AE;25;Edge 55
AA;6;AI;35;Edge 56
AJ;19;AA;48;Edge 57
AG;4;AA;8;Edge 58
AA;2;AC;48;Edge 59
AF;45;AI;47;Edge 60
AC;40;AE;43;Edge 61
AF;1;AA;28;Edge 62
AI;30;AH;33;Edge 63
AF;8;AA;14;Edge 64
AJ;20;AJ;48;Edge 65
AF;29;AA;41;Edge 66
AI;15;AI;47;Edge 67
AG;3;AC;36;Edge 68
AE;30;AG;32;Edge 69
AC;41;AE;49;Edge 70
AB;7;AD;46;Edge 71
AJ;19;AI;28;Edge 72
AB;12;AH;33;Edge 73
AJ;2;AJ;31;Edge 74
AE;33;AA;47;Edge 75
AC;12;AI;43;Edge 76
AC;7;AA;37;Edge 77
AJ;28;AJ;42;Edge 78
AD;38;AC;46;Edge 79
AF;13;AH;41;Edge 80
AC;10;AG;46;Edge 81
AC;28;AG;37;Edge 82
AE;11;AI;42;Edge 83
AH;11;AI;18;Edge 84
AH;37;AD;41;Edge 85
AB;21;AD;42;Edge 86
AF;11;AI;43;Edge 87
AH;1;AB;39;Edge 88
AB;3;AI;14;Edge 89
AB;24;AC;35;Edge 90
AD;18;AJ;40;Edge 91
AD;5;AI;43;Edge 92
AB;17;AI;26;Edge 93
AE;10;AE;22;Edge 94
AI;22;AF;26;Edge 95
AC;0;AE;28;Edge 96
AH;14;AB;22;Edge 97
AC;16;AE;24;Edge 98
AB;1;AI;38;Edge 99
AC;10;AE;23;Edge 100
AH;1;AH;7;Edge 101
AE;17;AF;23;Edge 102
AA;1;AD;45;Edge 103
AG;16;AJ;33;Edge 104
AG;1;AF;34;Edge 105
AC;38;AJ;47;Edge 106
AG;9;AI;38;Edge 107
AD;42;AI;46;Edge 108
AE;15;AD;34;Edge 109
AF;24;AB;42;Edge 110
AI;5;AD;34;Edge 111
AG;20;AH;44;Edge 112
AB;9;AC;11;Edge 113
AJ;9;AD;27;Edge 114
AF;30;AF;33;Edge 115
AJ;6;AA;44;Edge 116
AA;14;AC;26;Edge 117
AD;5;AB;9;Edge 118
AE;18;AE;38;Edge 119
AH;34;AI;37;Edge 120
AJ;19;AG;27;Edge 121
AE;37;AF;41;Edge 122
AD;2;AH;11;Edge 123
AC;10;AD;17;Edge 124
AD;17;AA;24;Edge 125
AG;11;AH;18;Edge 126
AB;6;AD;23;Edge 127
AF;6;AA;47;Edge 128
AA;2;AG;13;Edge 129
AB;20;AH;39;Edge 130
AC;20;AE;39;Edge 131
AG;13;AH;43;Edge 132
AI;19;AD;40;Edge 133
AG;2;AF;22;Edge 134
AE;17;AA;23;Edge 135
AC;6;AF;36;Edge 136
AJ;5;AC;11;Edge 137
AJ;13;AF;23;Edge 138
AH;26;AA;29;Edge 139
AH;6;AD;17;Edge 140
AB;4;AC;41;Edge 141
AJ;21;AG;23;Edge 142
AH;10;AD;33;Edge 143
AJ;8;AB;48;Edge 144
AF;0;AH;17;Edge 145
AJ;20;AF;27;Edge 146
AF;45;AJ;48;Edge 147
AF;3;AJ;18;Edge 148
AC;30;AJ;32;Edge 149
AJ;6;AF;37;Edge 150
AA;5;AG;6;Edge 151
AI;31;AE;39;Edge 152
AA;3;AH;6;Edge 153
AF;0;AE;31;Edge 154
AA;24;AA;49;Edge 155
AF;36;AC;38;Edge 156
AB;7;AJ;39;Edge 157
AD;0;AE;16;Edge 158
AH;15;AJ;27;Edge 159
AI;0;AC;45;Edge 160
AD;24;AD;39;Edge 161
AJ;43;AF;45;Edge 162
AI;7;AE;26;Edge 163
AJ;22;AJ;39;Edge 164
AJ;6;AI;19;Edge 165
AE;17;AE;49;Edge 166
AD;33;AE;46;Edge 167
AE;25;AC;29;Edge 168
AD;18;AB;27;Edge 169
AF;0;AE;10;Edge 170
AB;6;AB;20;Edge 171
AD;26;AJ;46;Edge 172
AE;44;AJ;49;Edge 173
