Source;ValidFrom;Target;ValidTo;Label
AJ;95;AB;214;Edge 1
BO;63;BQ;165;Edge 2
AG;56;BC;218;Edge 3
AW;41;BV;119;Edge 4
BR;90;BR;104;Edge 5
BA;165;BB;188;Edge 6
AC;197;BW;248;Edge 7
BV;146;AT;180;Edge 8
BJ;63;AW;156;Edge 9
BE;6;AW;46;Edge 10
AA;117;BA;219;Edge 11
BA;6;BQ;193;Edge 12
AE;205;AR;216;Edge 13
AI;177;BR;190;Edge 14
AY;75;AG;167;Edge 15
BD;45;BN;162;Edge 16
BR;24;AH;135;Edge 17
BU;55;BX;101;Edge 18
BL;45;BP;201;Edge 19
BM;181;AK;246;Edge 20
BQ;121;AL;149;Edge 21
AI;68;BO;178;Edge 22
BP;47;BJ;59;Edge 23
AK;243;BT;247;Edge 24
BQ;4;AB;7;Edge 25
BQ;26;AL;150;Edge 26
AK;132;AR;196;Edge 27
AE;118;AK;122;Edge 28
BH;105;BC;208;Edge 29
AZ;26;BS;31;Edge 30
BL;61;BK;87;Edge 31
AQ;180;AV;182;Edge 32
BD;114;AP;209;Edge 33
AD;136;AI;165;Edge 34
AX;1;BR;206;Edge 35
AW;20;BV;239;Edge 36
AA;82;AI;169;Edge 37
AX;12;BM;187;Edge 38
BB;56;BP;75;Edge 39
AT;25;AF;133;Edge 40
AW;3;AF;15;Edge 41
AS;162;BD;213;Edge 42
AC;84;AW;216;Edge 43
BN;75;BD;134;Edge 44
BI;48;BI;144;Edge 45
BC;138;AL;193;Edge 46
AA;46;AS;235;Edge 47
AD;106;BG;206;Edge 48
AR;105;AK;129;Edge 49
AU;183;BG;193;Edge 50
AJ;190;BV;248;Edge 51
BX;198;BS;235;Edge 52
BB;123;BX;171;Edge 53
AA;49;BA;99;Edge 54
AL;25;AX;193;Edge 55
AA;54;BN;113;Edge 56
AC;83;AA;205;Edge 57
BB;120;BO;143;Edge 58
AW;137;BV;218;Edge 59
AG;61;BR;207;Edge 60
AU;66;BO;232;Edge 61
AL;98;BS;208;Edge 62
AA;72;BC;183;Edge 63
BE;56;BE;127;Edge 64
BJ;36;BN;217;Edge 65
AM;79;AA;129;Edge 66
BK;118;BG;186;Edge 67
AC;64;BQ;246;Edge 68
AL;12;BF;157;Edge 69
BJ;43;AP;164;Edge 70
AO;42;AD;46;Edge 71
AQ;40;AI;209;Edge 72
BJ;10;AM;169;Edge 73
AR;56;AC;139;Edge 74
AJ;118;AS;188;Edge 75
AF;63;BE;228;Edge 76
BC;53;BN;69;Edge 77
AH;41;BC;120;Edge 78
BS;92;AO;248;Edge 79
BX;50;AS;84;Edge 80
BI;186;AK;237;Edge 81
BU;47;AP;203;Edge 82
BN;86;BW;176;Edge 83
AM;108;BS;236;Edge 84
AM;40;BS;234;Edge 85
BK;77;BD;106;Edge 86
BA;40;BF;210;Edge 87
AU;118;BX;185;Edge 88
BU;57;BJ;59;Edge 89
AJ;1;BB;38;Edge 90
BQ;222;BM;225;Edge 91
AK;58;AH;74;Edge 92
AQ;192;AT;222;Edge 93
BK;23;BP;126;Edge 94
AC;81;AB;143;Edge 95
AV;22;AE;95;Edge 96
BN;67;AH;176;Edge 97
BJ;140;AL;208;Edge 98
BS;163;BA;218;Edge 99
AH;31;AW;74;Edge 100
AL;32;BB;124;Edge 101
AS;139;AM;203;Edge 102
BV;126;BJ;140;Edge 103
BU;179;BF;222;Edge 104
